날짜,시가총액,거래량,거래대금,상장주식수
2023-04-03,106135975050,62206,177861875,37240693
2023-04-04,106508381980,40396,115147915,37240693
2023-04-05,106880788910,63999,184451755,37240693
2023-04-06,106135975050,35584,101272035,37240693
2023-04-07,105949771585,35740,101335005,37240693
2023-04-10,104832550795,38500,107984150,37240693
2023-04-11,105391161190,27345,76779045,37240693
2023-04-12,105949771585,42364,120026815,37240693
2023-04-13,106694585445,61693,175435445,37240693
2023-04-14,107253195840,46558,134099205,37240693
2023-04-17,105949771585,56165,159860330,37240693
2023-04-18,105577364655,78924,223516310,37240693
2023-04-19,106880788910,61475,176391415,37240693
2023-04-20,104832550795,107049,305679295,37240693
2023-04-21,104832550795,48433,135994520,37240693
2023-04-24,104832550795,67130,188493410,37240693
2023-04-25,103901533470,40807,113900470,37240693
2023-04-26,103156719610,64983,179096360,37240693
2023-04-27,101853295355,39415,107562510,37240693
2023-04-28,101294684960,40859,111609880,37240693
2023-05-02,101108481495,47117,128054290,37240693
2023-05-03,100177464170,59015,160025130,37240693
2023-05-04,101480888425,88409,237423050,37240693
2023-05-08,101480888425,29099,79498635,37240693
2023-05-09,101667091890,14408,39271360,37240693
2023-05-10,101480888425,25312,68815150,37240693
2023-05-11,102039498820,23409,64027065,37240693
2023-05-12,100736074565,26379,71341960,37240693
2023-05-15,99246446845,47842,127437480,37240693
2023-05-16,99246446845,20853,55479845,37240693
2023-05-17,99060243380,31851,84721095,37240693
2023-05-18,99060243380,16055,42667685,37240693
2023-05-19,100177464170,45318,120958075,37240693
2023-05-22,100922278030,16718,45015005,37240693
2023-05-23,101480888425,16988,46113760,37240693
2023-05-24,102039498820,15663,42655465,37240693
2023-05-25,100549871100,13746,37247195,37240693
2023-05-26,100549871100,20947,56290015,37240693
2023-05-30,99991260705,22707,60904325,37240693
2023-05-31,100549871100,17838,48129980,37240693
2023-06-01,100549871100,20438,54995100,37240693
2023-06-02,100177464170,47897,128146175,37240693
2023-06-05,99991260705,22728,60905280,37240693
2023-06-07,100363667635,18150,48748580,37240693
2023-06-08,100177464170,23502,63128310,37240693
2023-06-09,100922278030,41968,113157990,37240693
2023-06-12,100549871100,21450,57701080,37240693
2023-06-13,99618853775,36043,96517555,37240693
2023-06-14,99060243380,45099,120699445,37240693
2023-06-15,98687836450,40813,107947485,37240693
2023-06-16,98501632985,45106,119532435,37240693
2023-06-19,98501632985,23088,60919375,37240693
2023-06-20,99246446845,29676,78690005,37240693
2023-06-21,98315429520,30239,80011105,37240693
2023-06-22,98315429520,19875,52318390,37240693
2023-06-23,98315429520,30773,81009790,37240693
2023-06-26,98129226055,10517,27747185,37240693
2023-06-27,97943022590,11254,29603355,37240693
2023-06-28,97943022590,22455,58830385,37240693
2023-06-29,96267191405,34843,90381110,37240693
2023-06-30,95522377545,23504,60116185,37240693
