rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 38 기 1분기말,2975587830766,제 37 기말,2405831848923,1,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 38 기 1분기말,233122493596,제 37 기말,162690548829,2,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 38 기 1분기말,972018594564,제 37 기말,667145548895,3,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 38 기 1분기말,1049589502078,제 37 기말,927968163751,4,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 38 기 1분기말,157381387046,제 37 기말,81739168550,5,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 38 기 1분기말,490548104985,제 37 기말,464153075729,6,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 38 기 1분기말,21686198319,제 37 기말,38258697222,7,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 38 기 1분기말,51241550178,제 37 기말,63876645947,8,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 38 기 1분기말,2781398736621,제 37 기말,2715703622910,9,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 38 기 1분기말,138112500185,제 37 기말,140927010655,10,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타채권,-,제 38 기 1분기말,2077391867,제 37 기말,2147733327,11,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,dart_NonCurrentDerivativeAssets,파생상품자산,-,제 38 기 1분기말,64482859917,제 37 기말,52824512285,12,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업및공동기업투자,-,제 38 기 1분기말,881322277139,제 37 기말,850024867889,13,KRW,,,,,연결,,
20220516001545,11013,2022,00144164,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 38 기 1분기말,1097219740785,제 37 기말,1059232600785,14,KRW,,,,,연결,,
