Date,CP0000EZ19M086NEST
2019-01-01,102.97
2019-02-01,103.3
2019-03-01,104.35
2019-04-01,105.1
2019-05-01,105.24
2019-06-01,105.41
2019-07-01,104.91
2019-08-01,105.06
2019-09-01,105.29
2019-10-01,105.44
2019-11-01,105.1
2019-12-01,105.43
