BPS,PER,PBR,EPS,DIV,DPS
43611,9.61,1.27,5777,2.6,1444
43611,9.59,1.27,5777,2.61,1444
43611,10.01,1.33,5777,2.5,1444
43611,10.07,1.33,5777,2.48,1444
43611,10.21,1.35,5777,2.45,1444
43611,10.51,1.39,5777,2.38,1444
43611,10.46,1.38,5777,2.39,1444
43611,10.47,1.39,5777,2.39,1444
43611,10.47,1.39,5777,2.39,1444
43611,10.52,1.39,5777,2.38,1444
43611,10.58,1.4,5777,2.36,1444
43611,10.56,1.4,5777,2.37,1444
43611,10.46,1.38,5777,2.39,1444
43611,10.65,1.41,5777,2.35,1444
43611,10.7,1.42,5777,2.34,1444
43611,10.97,1.45,5777,2.28,1444
43611,11.06,1.47,5777,2.26,1444
43611,11.18,1.48,5777,2.24,1444
43611,10.96,1.45,5777,2.28,1444
43611,10.56,1.4,5777,2.37,1444
