날짜,시가총액,거래량,거래대금,상장주식수
2022-04-01,26304352500,1118,7981280,3689250
2022-04-04,26378137500,3433,24559640,3689250
2022-04-05,26415030000,1441,10281360,3689250
2022-04-06,26378137500,149,1066640,3689250
2022-04-07,26415030000,2875,20588750,3689250
2022-04-08,26451922500,2466,17882670,3689250
2022-04-11,26525707500,5971,42910400,3689250
2022-04-12,26636385000,2906,20963450,3689250
2022-04-13,26747062500,1393,10063700,3689250
2022-04-14,26820847500,4258,30971800,3689250
2022-04-15,26747062500,3345,24146290,3689250
2022-04-18,26747062500,465,3363690,3689250
2022-04-19,26783955000,2379,17265980,3689250
2022-04-20,26931525000,6712,48821540,3689250
2022-04-21,26931525000,13842,100882010,3689250
2022-04-22,26968417500,3995,29099740,3689250
2022-04-25,26820847500,5223,37969240,3689250
2022-04-26,27115987500,7140,52208470,3689250
2022-04-27,26747062500,2871,20851460,3689250
2022-04-28,26783955000,11526,83636570,3689250
2022-04-29,26857740000,5744,41750480,3689250
2022-05-02,27374235000,1982,14505940,3689250
2022-05-03,27042202500,2291,16757120,3689250
2022-05-04,26894632500,889,6511010,3689250
2022-05-06,26747062500,1670,12107600,3689250
2022-05-09,26230567500,4802,34554090,3689250
2022-05-10,26119890000,2889,20334270,3689250
2022-05-11,26230567500,2476,17775800,3689250
2022-05-12,25714072500,3102,21825250,3689250
2022-05-13,26009212500,677,4731500,3689250
2022-05-16,26783955000,3345,24928610,3689250
2022-05-17,27300450000,5845,43206810,3689250
2022-05-18,27152880000,369,2722190,3689250
2022-05-19,26525707500,2471,17895060,3689250
2022-05-20,27152880000,3306,24392220,3689250
2022-05-23,27152880000,847,6230680,3689250
2022-05-24,26673277500,446,3227860,3689250
2022-05-25,26562600000,1234,8919440,3689250
2022-05-26,26820847500,245,1764080,3689250
2022-05-27,26968417500,247,1815060,3689250
2022-05-30,26931525000,67,493680,3689250
2022-05-31,26931525000,1745,12732250,3689250
2022-06-02,26894632500,289,2103580,3689250
2022-06-03,26931525000,563,4080820,3689250
2022-06-07,26931525000,2130,15610200,3689250
2022-06-08,26747062500,1194,8706800,3689250
2022-06-09,26931525000,861,6289300,3689250
2022-06-10,26894632500,32,233570,3689250
2022-06-13,26046105000,1869,13192910,3689250
2022-06-14,25603395000,1916,13333390,3689250
2022-06-15,25308255000,524,3589500,3689250
2022-06-16,25160685000,438,3025580,3689250
2022-06-17,25123792500,867,5907150,3689250
2022-06-20,24607297500,696,4684440,3689250
2022-06-21,25050007500,1085,7342800,3689250
2022-06-22,24828652500,1769,11935190,3689250
2022-06-23,24312157500,2144,13999730,3689250
2022-06-24,25160685000,1519,10114050,3689250
2022-06-27,25418932500,549,3761190,3689250
2022-06-28,25050007500,321,2183220,3689250
2022-06-29,25271362500,212,1439540,3689250
2022-06-30,24754867500,122,822800,3689250
