Date,HML
2023-10-04,0.0
2023-10-05,0.01369018019716606
2023-10-06,0.0008203073309758224
2023-10-10,-0.014697661131729323
2023-10-11,0.016955600814873906
2023-10-12,0.04229959381982977
2023-10-13,-0.020174633999082703
2023-10-16,0.035278301041556825
2023-10-17,4.140471535973855e-05
2023-10-18,0.0007634555675590793
2023-10-19,-0.019539131922762243
2023-10-20,-0.01083474975664922
2023-10-23,-0.03684366320841148
2023-10-24,0.007889825673709883
2023-10-25,-0.008678541051247546
2023-10-26,-0.024673176202583948
2023-10-27,0.029063265402928362
2023-10-30,-0.02318788941192962
2023-10-31,-0.004868078635900885
2023-11-01,0.020122637588416
2023-11-02,0.030249923747923235
2023-11-03,0.011952253849951949
2023-11-06,0.023493521081008994
2023-11-07,0.014704781554205588
2023-11-08,-0.02144724639381742
2023-11-09,-0.0006379263651276426
2023-11-10,-0.0006791741151657149
2023-11-13,0.030310319567772158
2023-11-14,0.013360074238460603
2023-11-15,-0.039930585950990194
2023-11-16,0.01406532186563621
2023-11-17,-0.012710181119525302
2023-11-20,0.005329525955143281
2023-11-21,-0.0174676872994447
2023-11-22,-0.004045246874426386
2023-11-23,0.0004656757264431451
2023-11-24,3.12535898833548e-05
2023-11-27,-0.007432450647665029
2023-11-28,-0.0037691185492449604
2023-11-29,0.00847931747943916
2023-11-30,0.006225608489571099
2023-12-01,-0.004744778683380487
2023-12-04,0.0030449204654111237
2023-12-05,-0.021149193948009477
2023-12-06,0.026018768996163844
2023-12-07,0.009334319622089082
2023-12-08,0.0006986616508843912
2023-12-11,0.010108432495783526
2023-12-12,-0.0007351758041178971
2023-12-13,0.014516660413889068
2023-12-14,0.006874325606876508
2023-12-15,0.01913844772885272
2023-12-18,0.0043383550135890365
2023-12-19,-0.018084102195048635
2023-12-20,0.028352238811014674
2023-12-21,-0.008593044371630628
2023-12-22,-0.006904575161697994
2023-12-26,-0.006304499497288211
2023-12-27,-0.000526362380931215
2023-12-28,0.005966630166836591
