날짜,시가,고가,저가,종가,거래량,등락률
2020-12-01,116000,117000,115000,116000,19160,0.0
2020-12-02,116000,118500,115000,117000,23169,0.8620689655172413
2020-12-03,117000,117000,115000,116500,19886,-0.4273504273504274
2020-12-04,116500,118000,115500,117000,25711,0.4291845493562232
2020-12-07,118000,118000,115500,116500,13684,-0.4273504273504274
2020-12-08,116000,117000,115500,116000,13418,-0.4291845493562232
2020-12-09,115500,116500,115000,116000,14233,0.0
2020-12-10,116000,118000,115000,117500,14863,1.293103448275862
2020-12-11,117500,123500,117000,120000,68542,2.127659574468085
2020-12-14,122000,124000,120000,121000,33579,0.8333333333333334
2020-12-15,120500,121000,118000,119000,25910,-1.6528925619834711
2020-12-16,119500,120000,118500,119500,12790,0.42016806722689076
2020-12-17,119500,119500,118000,118500,15117,-0.8368200836820083
2020-12-18,119000,120500,118000,119000,14850,0.42194092827004215
2020-12-21,121000,121000,118500,120000,17311,0.8403361344537815
2020-12-22,120000,131000,119500,126000,128265,5.0
2020-12-23,128500,130500,125500,128000,71836,1.5873015873015872
2020-12-24,130000,135000,127000,131500,65052,2.734375
2020-12-28,134000,134500,129000,130500,57191,-0.7604562737642585
2020-12-29,129000,129000,124500,126000,37441,-3.4482758620689653
2020-12-30,126000,127000,123000,125500,30649,-0.3968253968253968
