Date,CP0000EZ19M086NEST
2021-01-01,105.32
2021-02-01,105.54
2021-03-01,106.53
2021-04-01,107.14
2021-05-01,107.42
2021-06-01,107.7
2021-07-01,107.6
2021-08-01,107.98
2021-09-01,108.49
2021-10-01,109.41
2021-11-01,109.9
2021-12-01,110.37
