날짜,시가총액,거래량,거래대금,상장주식수
2022-10-04,9080553930,519,3919850,1212357
2022-10-05,9165418920,2187,16362970,1212357
2022-10-06,9286654620,1095,8328200,1212357
2022-10-07,9165418920,2212,16868460,1212357
2022-10-11,8910823950,1651,11985030,1212357
2022-10-12,8910823950,1488,10964140,1212357
2022-10-13,8571363990,2140,15303520,1212357
2022-10-14,8789588250,820,5902280,1212357
2022-10-17,8765341110,109,786490,1212357
2022-10-18,8777464680,126,911520,1212357
2022-10-19,8789588250,574,4155660,1212357
2022-10-20,8825958960,266,1934210,1212357
2022-10-21,8777464680,67,485910,1212357
2022-10-24,8922947520,1548,11545820,1212357
2022-10-25,9019936080,1787,13425090,1212357
2022-10-26,9019936080,373,2784840,1212357
2022-10-27,9104801070,1028,7620860,1212357
2022-10-28,9104801070,257,1905420,1212357
2022-10-31,9153295350,100,742690,1212357
2022-11-01,9298778190,287,2196380,1212357
2022-11-02,9383643180,251,1938730,1212357
2022-11-03,9432137460,56,426320,1212357
2022-11-04,9432137460,4,31010,1212357
2022-11-07,9480631740,83,632700,1212357
2022-11-08,9456384600,1036,8085760,1212357
2022-11-09,9650361720,653,5173250,1212357
2022-11-10,9638238150,243,1921220,1212357
2022-11-11,9710979570,1318,10550370,1212357
2022-11-14,9735226710,524,4174160,1212357
2022-11-15,9771597420,715,5805400,1212357
2022-11-16,9953450970,270,2185040,1212357
2022-11-17,9965574540,268,2194280,1212357
2022-11-18,9710979570,1848,14769520,1212357
2022-11-21,9601867440,43,342070,1212357
2022-11-22,9468508170,540,4223860,1212357
2022-11-23,9371519610,1548,12079910,1212357
2022-11-24,9383643180,4075,31572900,1212357
2022-11-25,9432137460,851,6690400,1212357
2022-11-28,9238160340,1370,10515750,1212357
2022-11-29,8971441800,2923,21805620,1212357
2022-11-30,9226036770,2520,18859230,1212357
2022-12-01,10547505900,141471,1260570170,1212357
2022-12-02,9965574540,22155,184241820,1212357
2022-12-05,10741483020,54421,488326960,1212357
2022-12-06,10547505900,9885,85904110,1212357
2022-12-07,10195922370,4559,38826400,1212357
2022-12-08,10826348010,74648,673227410,1212357
2022-12-09,11153684400,7946,71727750,1212357
2022-12-12,11262796530,2661,24582810,1212357
2022-12-13,11505267930,6966,64871840,1212357
2022-12-14,11759862900,5653,54767790,1212357
2022-12-15,11808357180,7158,68411600,1212357
2022-12-16,12002334300,9819,95715660,1212357
2022-12-19,12123570000,4733,46807420,1212357
2022-12-20,12487277100,5607,56766710,1212357
2022-12-21,12608512800,16995,177420400,1212357
2022-12-22,12062952150,7674,77598950,1212357
2022-12-23,12184187850,3743,37481270,1212357
2022-12-26,12123570000,75,757350,1212357
2022-12-27,11529515070,12707,122365880,1212357
2022-12-28,11396155800,5962,55226770,1212357
2022-12-29,11347661520,453,4204690,1212357
