일자,수익률,대비
2019-01-02,1.733,-0.015
2019-01-03,1.731,-0.002
2019-01-04,1.717,-0.014
2019-01-07,1.722,0.005
2019-01-08,1.725,0.003
2019-01-09,1.723,-0.002
2019-01-10,1.717,-0.006
2019-01-11,1.72,0.003
2019-01-14,1.718,-0.002
2019-01-15,1.721,0.003
2019-01-16,1.722,0.001
2019-01-17,1.722,0.0
2019-01-18,1.731,0.009
2019-01-21,1.736,0.005
2019-01-22,1.729,-0.007
2019-01-23,1.737,0.008
2019-01-24,1.745,0.008
2019-01-25,1.746,0.001
2019-01-28,1.751,0.005
2019-01-29,1.757,0.006
2019-01-30,1.761,0.004
2019-01-31,1.754,-0.007
2019-02-01,1.751,-0.003
2019-02-07,1.751,0.0
2019-02-08,1.743,-0.008
2019-02-11,1.741,-0.002
2019-02-12,1.749,0.008
2019-02-13,1.754,0.005
2019-02-14,1.753,-0.001
2019-02-15,1.75,-0.003
2019-02-18,1.762,0.012
2019-02-19,1.763,0.001
2019-02-20,1.766,0.003
2019-02-21,1.769,0.003
2019-02-22,1.771,0.002
2019-02-25,1.774,0.003
2019-02-26,1.771,-0.003
2019-02-27,1.77,-0.001
2019-02-28,1.776,0.006
2019-03-04,1.787,0.011
2019-03-05,1.788,0.001
2019-03-06,1.786,-0.002
2019-03-07,1.78,-0.006
2019-03-08,1.773,-0.007
2019-03-11,1.776,0.003
2019-03-12,1.776,0.0
2019-03-13,1.77,-0.006
2019-03-14,1.77,0.0
2019-03-15,1.778,0.008
2019-03-18,1.781,0.003
2019-03-19,1.781,0.0
2019-03-20,1.783,0.002
2019-03-21,1.773,-0.01
2019-03-22,1.777,0.004
2019-03-25,1.763,-0.014
2019-03-26,1.76,-0.003
2019-03-27,1.74,-0.02
2019-03-28,1.719,-0.021
2019-03-29,1.722,0.003
2019-04-01,1.74,0.018
2019-04-02,1.733,-0.007
2019-04-03,1.743,0.01
2019-04-04,1.744,0.001
2019-04-05,1.752,0.008
2019-04-08,1.749,-0.003
2019-04-09,1.749,0.0
2019-04-10,1.751,0.002
2019-04-11,1.753,0.002
2019-04-12,1.754,0.001
2019-04-15,1.77,0.016
2019-04-16,1.772,0.002
2019-04-17,1.777,0.005
2019-04-18,1.752,-0.025
2019-04-19,1.758,0.006
2019-04-22,1.766,0.008
2019-04-23,1.764,-0.002
2019-04-24,1.755,-0.009
2019-04-25,1.739,-0.016
2019-04-26,1.738,-0.001
2019-04-29,1.734,-0.004
2019-04-30,1.727,-0.007
2019-05-02,1.749,0.022
2019-05-03,1.752,0.003
2019-05-07,1.743,-0.009
2019-05-08,1.74,-0.003
2019-05-09,1.734,-0.006
2019-05-10,1.741,0.007
2019-05-13,1.742,0.001
2019-05-14,1.735,-0.007
2019-05-15,1.734,-0.001
2019-05-16,1.709,-0.025
2019-05-17,1.707,-0.002
2019-05-20,1.714,0.007
2019-05-21,1.703,-0.011
2019-05-22,1.704,0.001
2019-05-23,1.69,-0.014
2019-05-24,1.687,-0.003
2019-05-27,1.69,0.003
2019-05-28,1.691,0.001
2019-05-29,1.665,-0.026
2019-05-30,1.669,0.004
2019-05-31,1.626,-0.043
2019-06-03,1.619,-0.007
2019-06-04,1.616,-0.003
2019-06-05,1.595,-0.021
2019-06-07,1.595,0.0
2019-06-10,1.592,-0.003
2019-06-11,1.597,0.005
2019-06-12,1.537,-0.06
2019-06-13,1.543,0.006
2019-06-14,1.536,-0.007
2019-06-17,1.554,0.018
2019-06-18,1.556,0.002
2019-06-19,1.548,-0.008
2019-06-20,1.502,-0.046
2019-06-21,1.519,0.017
2019-06-24,1.519,0.0
2019-06-25,1.543,0.024
2019-06-26,1.56,0.017
2019-06-27,1.564,0.004
2019-06-28,1.552,-0.012
2019-07-01,1.556,0.004
2019-07-02,1.546,-0.01
2019-07-03,1.521,-0.025
2019-07-04,1.512,-0.009
2019-07-05,1.514,0.002
2019-07-08,1.514,0.0
2019-07-09,1.514,0.0
2019-07-10,1.523,0.009
2019-07-11,1.508,-0.015
2019-07-12,1.511,0.003
2019-07-15,1.517,0.006
2019-07-16,1.515,-0.002
2019-07-17,1.491,-0.024
2019-07-18,1.444,-0.047
2019-07-19,1.43,-0.014
2019-07-22,1.434,0.004
2019-07-23,1.436,0.002
2019-07-24,1.424,-0.012
2019-07-25,1.415,-0.009
2019-07-26,1.418,0.003
2019-07-29,1.416,-0.002
2019-07-30,1.414,-0.002
2019-07-31,1.41,-0.004
2019-08-01,1.42,0.01
2019-08-02,1.382,-0.038
2019-08-05,1.32,-0.062
2019-08-06,1.295,-0.025
2019-08-07,1.244,-0.051
2019-08-08,1.221,-0.023
2019-08-09,1.2,-0.021
2019-08-12,1.19,-0.01
2019-08-13,1.174,-0.016
2019-08-14,1.169,-0.005
2019-08-16,1.125,-0.044
2019-08-19,1.126,0.001
2019-08-20,1.124,-0.002
2019-08-21,1.15,0.026
2019-08-22,1.108,-0.042
2019-08-23,1.113,0.005
2019-08-26,1.08,-0.033
2019-08-27,1.114,0.034
2019-08-28,1.118,0.004
2019-08-29,1.115,-0.003
2019-08-30,1.122,0.007
2019-09-02,1.154,0.032
2019-09-03,1.15,-0.004
2019-09-04,1.157,0.007
2019-09-05,1.171,0.014
2019-09-06,1.174,0.003
2019-09-09,1.172,-0.002
2019-09-10,1.188,0.016
2019-09-11,1.202,0.014
2019-09-16,1.27,0.068
2019-09-17,1.251,-0.019
2019-09-18,1.254,0.003
2019-09-19,1.269,0.015
2019-09-20,1.269,0.0
2019-09-23,1.277,0.008
2019-09-24,1.277,0.0
2019-09-25,1.272,-0.005
2019-09-26,1.272,0.0
2019-09-27,1.273,0.001
2019-09-30,1.275,0.002
2019-10-01,1.287,0.012
2019-10-02,1.283,-0.004
2019-10-04,1.243,-0.04
2019-10-07,1.259,0.016
2019-10-08,1.267,0.008
2019-10-10,1.271,0.004
2019-10-11,1.272,0.001
2019-10-14,1.273,0.001
2019-10-15,1.272,-0.001
2019-10-16,1.276,0.004
2019-10-17,1.285,0.009
2019-10-18,1.283,-0.002
2019-10-21,1.3,0.017
2019-10-22,1.293,-0.007
2019-10-23,1.299,0.006
2019-10-24,1.311,0.012
2019-10-25,1.334,0.023
2019-10-28,1.369,0.035
2019-10-29,1.36,-0.009
2019-10-30,1.359,-0.001
2019-10-31,1.359,0.0
2019-11-01,1.364,0.005
2019-11-04,1.387,0.023
2019-11-05,1.371,-0.016
2019-11-06,1.377,0.006
2019-11-07,1.38,0.003
2019-11-08,1.374,-0.006
2019-11-11,1.372,-0.002
2019-11-12,1.394,0.022
2019-11-13,1.388,-0.006
2019-11-14,1.392,0.004
2019-11-15,1.395,0.003
2019-11-18,1.405,0.01
2019-11-19,1.399,-0.006
2019-11-20,1.38,-0.019
2019-11-21,1.39,0.01
2019-11-22,1.391,0.001
2019-11-25,1.401,0.01
2019-11-26,1.399,-0.002
2019-11-27,1.39,-0.009
2019-11-28,1.382,-0.008
2019-11-29,1.365,-0.017
2019-12-02,1.376,0.011
2019-12-03,1.382,0.006
2019-12-04,1.36,-0.022
2019-12-05,1.37,0.01
2019-12-06,1.371,0.001
2019-12-09,1.363,-0.008
2019-12-10,1.351,-0.012
2019-12-11,1.345,-0.006
2019-12-12,1.343,-0.002
2019-12-13,1.352,0.009
2019-12-16,1.341,-0.011
2019-12-17,1.34,-0.001
2019-12-18,1.336,-0.004
2019-12-19,1.347,0.011
2019-12-20,1.349,0.002
2019-12-23,1.342,-0.007
2019-12-24,1.339,-0.003
2019-12-26,1.336,-0.003
2019-12-27,1.337,0.001
2019-12-30,1.335,-0.002
2019-12-31,1.335,0.0
