날짜,시가,고가,저가,종가,거래량,등락률
2020-09-01,28800,29000,27850,28150,412680,-2.5951557093425603
2020-09-02,28500,28600,27700,28050,286013,-0.3552397868561279
2020-09-03,28100,28200,27600,27800,304172,-0.8912655971479502
2020-09-04,26950,27400,26950,27250,270415,-1.9784172661870503
2020-09-07,27350,27400,26700,26800,323755,-1.651376146788991
2020-09-08,27000,27450,26950,27100,232306,1.1194029850746268
2020-09-09,26800,27000,26550,26600,231206,-1.8450184501845017
2020-09-10,26900,27550,26650,27150,276015,2.0676691729323307
2020-09-11,27100,27600,27000,27500,177257,1.289134438305709
2020-09-14,27700,27700,27350,27550,165393,0.18181818181818182
2020-09-15,27550,27600,27000,27100,240494,-1.6333938294010888
2020-09-16,27050,27400,26800,27000,228667,-0.36900369003690037
2020-09-17,27000,27250,26650,26750,204381,-0.9259259259259258
2020-09-18,26950,27100,26750,26900,101025,0.5607476635514018
2020-09-21,27150,27700,27050,27150,260438,0.929368029739777
2020-09-22,27400,27400,25900,26100,269158,-3.867403314917127
2020-09-23,26300,26450,25500,25750,201798,-1.3409961685823755
2020-09-24,25400,25450,24550,24700,275165,-4.077669902912621
2020-09-25,24900,25050,24450,24700,146157,0.0
2020-09-28,24900,25550,24850,25550,81871,3.4412955465587043
2020-09-29,25750,26200,25600,26000,129946,1.761252446183953
