날짜,시가,고가,저가,종가,거래량,등락률
2024-02-01,47000,49450,46250,48650,62869,3.5106382978723407
2024-02-02,49450,50200,49350,49400,40750,1.5416238437821173
2024-02-05,49800,49850,48050,48900,24916,-1.0121457489878543
2024-02-06,48900,49000,47200,47650,42449,-2.556237218813906
2024-02-07,48200,48900,48000,48700,33431,2.2035676810073452
2024-02-08,48900,49550,48600,49300,38242,1.2320328542094456
2024-02-13,49350,49950,48500,49850,42405,1.1156186612576064
2024-02-14,49750,51300,49050,50800,68283,1.9057171514543632
2024-02-15,51500,51600,50400,50400,31496,-0.7874015748031495
2024-02-16,50400,51400,49950,51100,62615,1.3888888888888888
2024-02-19,51100,51600,50600,51400,73815,0.5870841487279843
2024-02-20,51600,54000,51500,53800,165133,4.669260700389105
2024-02-21,53700,54400,52800,53000,50774,-1.486988847583643
2024-02-22,53600,56900,53300,56300,118051,6.226415094339623
2024-02-23,56300,57000,55100,56300,59317,0.0
2024-02-26,56300,56800,54800,55000,32728,-2.3090586145648313
2024-02-27,54500,55000,53600,54200,42775,-1.4545454545454546
2024-02-28,54200,55500,53800,53900,28562,-0.5535055350553505
2024-02-29,54300,54300,53000,53000,22501,-1.6697588126159555
