날짜,시가,고가,저가,종가,거래량,등락률
2020-08-03,36210,37323,34951,36065,25657,-1.1917808219178083
2020-08-04,36790,36790,35774,35774,9488,-0.8068764730347983
2020-08-05,35580,36500,35145,35920,10257,0.40811762732710904
2020-08-06,36064,39647,35919,36404,76421,1.3474387527839644
2020-08-07,37323,37323,36016,36791,21964,1.0630699923085376
2020-08-10,37759,39743,37129,38727,119735,5.262156505667146
2020-08-11,39211,40518,37371,38243,67898,-1.2497740594417333
2020-08-12,37662,38243,36887,37323,23936,-2.4056690113223334
2020-08-13,37371,38146,36887,37130,13954,-0.5171074136591378
2020-08-14,37129,37759,36839,36888,8781,-0.6517640721788311
2020-08-18,38291,38291,34515,35145,12429,-4.725113858165257
2020-08-19,35145,36645,34854,35193,7392,0.1365770379854887
2020-08-20,35435,36064,32918,32918,11037,-6.464353706703038
2020-08-21,32240,33644,32143,32337,11470,-1.7649917978005956
2020-08-24,32095,32627,31562,31998,8575,-1.048334724928101
2020-08-25,32143,33257,32143,32434,5683,1.3625851615725983
2020-08-26,32530,33208,29626,31418,27048,-3.1325152617623484
2020-08-27,31127,32385,31078,31079,11360,-1.0789992997644664
2020-08-28,31127,32288,30691,31079,12890,0.0
2020-08-31,31078,31998,31078,31272,6194,0.620998101612021
