Date,CP0000EZ19M086NEST
2022-01-01,110.7
2022-02-01,111.74
2022-03-01,114.46
2022-04-01,115.11
2022-05-01,116.07
2022-06-01,117.01
2022-07-01,117.14
2022-08-01,117.85
2022-09-01,119.26
2022-10-01,121.03
2022-11-01,120.95
2022-12-01,120.52
