상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3096749107,51.88,5969782550,51.88
5969782550,3097854660,51.88,5969782550,51.88
5969782550,3100361780,51.94,5969782550,51.94
5969782550,3101371293,51.94,5969782550,51.94
5969782550,3102256191,51.97,5969782550,51.97
5969782550,3101759848,51.97,5969782550,51.97
5969782550,3100932940,51.94,5969782550,51.94
5969782550,3100236345,51.94,5969782550,51.94
5969782550,3100618474,51.94,5969782550,51.94
5969782550,3100906224,51.94,5969782550,51.94
5969782550,3103605816,52.0,5969782550,52.0
5969782550,3103603817,52.0,5969782550,52.0
5969782550,3109160000,52.1,5969782550,52.1
5969782550,3115896617,52.2,5969782550,52.2
5969782550,3115646940,52.2,5969782550,52.2
5969782550,3114885610,52.2,5969782550,52.2
5969782550,3116148965,52.2,5969782550,52.2
5969782550,3116542289,52.22,5969782550,52.22
5969782550,3124516695,52.34,5969782550,52.34
5969782550,3130869289,52.44,5969782550,52.44
