Date,CPIAUCSL
2021-01-01,262.518
2021-02-01,263.583
2021-03-01,264.91
2021-04-01,266.752
2021-05-01,268.452
2021-06-01,270.664
2021-07-01,271.994
2021-08-01,272.789
2021-09-01,273.887
2021-10-01,276.434
2021-11-01,278.799
2021-12-01,280.808
