Date,IR3TIB01JPM156N
2020-01-01,0.021
2020-02-01,0.021
2020-03-01,0.006
2020-04-01,-0.039
2020-05-01,-0.042
2020-06-01,-0.042
2020-07-01,-0.065
2020-08-01,-0.065
2020-09-01,-0.055
2020-10-01,-0.055
2020-11-01,-0.055
2020-12-01,-0.055
