날짜,시가총액,거래량,거래대금,상장주식수
2023-10-04,41885365200,99096,137403049,29918118
2023-10-05,41197248486,45855,63538021,29918118
2023-10-06,41915283318,18390,25753143,29918118
2023-10-10,40449295536,110753,153247273,29918118
2023-10-11,41316920958,20101,27941852,29918118
2023-10-12,41945201436,42728,59862857,29918118
2023-10-13,41765692728,22841,32058846,29918118
2023-10-16,41765692728,17020,23509957,29918118
2023-10-17,41915283318,58587,81940379,29918118
2023-10-18,38803799046,183920,245411169,29918118
2023-10-19,35363215476,166100,204438679,29918118
2023-10-20,34944361824,187954,217515120,29918118
2023-10-23,34675098762,91235,104803862,29918118
2023-10-24,35961577836,66719,76908033,29918118
2023-10-25,37248056910,72013,89887725,29918118
2023-10-26,34645180644,91027,106134322,29918118
2023-10-27,35004198060,41464,49113673,29918118
2023-10-30,36350513370,44386,53254938,29918118
2023-10-31,35273461122,42164,50775933,29918118
2023-11-01,35093952414,34145,40599715,29918118
2023-11-02,36051332190,22387,26871551,29918118
2023-11-03,36470185842,48503,58916622,29918118
2023-11-06,36918957612,92983,113031197,29918118
2023-11-07,36649694550,65216,79886578,29918118
2023-11-08,36889039494,40220,49434499,29918118
2023-11-09,38235354804,53155,67104879,29918118
2023-11-10,38205436686,43296,55147861,29918118
2023-11-13,39880851294,372769,504776958,29918118
2023-11-14,40299704946,92259,123923478,29918118
2023-11-15,40090278120,57341,76586466,29918118
2023-11-16,39132898344,101736,133537854,29918118
2023-11-17,38863635282,29446,38157964,29918118
2023-11-20,38863635282,25251,32793310,29918118
2023-11-21,39940687530,38918,51571213,29918118
2023-11-22,40150114356,43325,58277525,29918118
2023-11-23,40838231070,65256,88160537,29918118
2023-11-24,40838231070,37070,50841776,29918118
2023-11-27,40539049890,26192,35309206,29918118
2023-11-28,41167330368,21228,28528280,29918118
2023-11-29,39761178822,33052,43921026,29918118
2023-11-30,40868149188,531393,734212965,29918118
2023-12-01,40449295536,314703,426568090,29918118
2023-12-04,39192734580,96713,126798620,29918118
2023-12-05,37756664916,61534,78663636,29918118
2023-12-06,38085764214,31108,39121738,29918118
2023-12-07,37577156208,25763,32275301,29918118
2023-12-08,37636992444,61454,76631937,29918118
2023-12-11,38564454102,35750,45727488,29918118
2023-12-12,38444781630,16128,20602597,29918118
2023-12-13,39132898344,72505,94660439,29918118
2023-12-14,40389459300,257457,353309700,29918118
2023-12-15,39132898344,77346,102672708,29918118
2023-12-18,40209950592,78630,105269926,29918118
2023-12-19,40927985424,703051,837740119,29918118
2023-12-20,40748476716,334223,457073105,29918118
2023-12-21,39821015058,706772,853498561,29918118
2023-12-22,39102980226,69172,90159195,29918118
2023-12-26,37756664916,81095,103174802,29918118
2023-12-27,37846419270,40299,50780566,29918118
2023-12-28,37786583034,33539,42283905,29918118
