상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,2965339762,49.66,5969782550,49.66
5969782550,2964905145,49.66,5969782550,49.66
5969782550,2970400648,49.75,5969782550,49.75
5969782550,2974040575,49.8,5969782550,49.8
5969782550,2977126583,49.88,5969782550,49.88
5969782550,2979701881,49.9,5969782550,49.9
5969782550,2983322381,49.97,5969782550,49.97
5969782550,2983523234,49.97,5969782550,49.97
5969782550,2984487393,50.0,5969782550,50.0
5969782550,2985958859,50.03,5969782550,50.03
5969782550,2987332055,50.03,5969782550,50.03
5969782550,2988383164,50.06,5969782550,50.06
5969782550,2989308003,50.06,5969782550,50.06
5969782550,2990511026,50.1,5969782550,50.1
5969782550,2993784109,50.16,5969782550,50.16
5969782550,2995009859,50.16,5969782550,50.16
5969782550,3001579071,50.28,5969782550,50.28
5969782550,3005053104,50.34,5969782550,50.34
5969782550,3010762862,50.44,5969782550,50.44
5969782550,3012326910,50.47,5969782550,50.47
