Date,MOM
2020-01-02,-0.09125590179414544
2020-01-02,-0.03358104036955201
2020-01-02,-0.09125590179414544
2020-01-02,-0.03358104036955201
2020-01-03,-0.03623770327243525
2020-01-03,-0.09680150517403574
2020-01-03,-0.03623770327243525
2020-01-03,-0.09680150517403574
2020-01-06,-0.036065241616857535
2020-01-06,-0.11172725405627448
2020-01-06,-0.036065241616857535
2020-01-06,-0.11172725405627448
2020-01-07,-0.01202995042830779
2020-01-07,-0.11057791055923816
2020-01-07,-0.01202995042830779
2020-01-07,-0.11057791055923816
2020-01-08,-0.045862125699243195
2020-01-08,-0.12152541089146407
2020-01-08,-0.045862125699243195
2020-01-08,-0.12152541089146407
2020-01-09,-0.035606666256687736
2020-01-09,-0.11034208884098251
2020-01-09,-0.035606666256687736
2020-01-09,-0.11034208884098251
2020-01-10,-0.032700747975520805
2020-01-10,-0.10774903540949954
2020-01-10,-0.032700747975520805
2020-01-10,-0.10774903540949954
2020-01-13,-0.0253284461101273
2020-01-13,-0.09652789707763076
2020-01-13,-0.0253284461101273
2020-01-13,-0.09652789707763076
2020-01-14,-0.03419964320467073
2020-01-14,-0.081902449365015
2020-01-14,-0.03419964320467073
2020-01-14,-0.081902449365015
2020-01-15,-0.05788116746373817
2020-01-15,-0.03093242641402494
2020-01-15,-0.05788116746373817
2020-01-15,-0.03093242641402494
2020-01-16,-0.05665414277239467
2020-01-16,-0.03752648037929984
2020-01-16,-0.05665414277239467
2020-01-16,-0.03752648037929984
2020-01-17,-0.051115537848605674
2020-01-17,-0.0587096136745382
2020-01-17,-0.051115537848605674
2020-01-17,-0.0587096136745382
2020-01-20,-0.057261377845701844
2020-01-20,-0.054031985023202056
2020-01-20,-0.057261377845701844
2020-01-20,-0.054031985023202056
2020-01-21,-0.05663980901223509
2020-01-21,-0.06034124011652098
2020-01-21,-0.05663980901223509
2020-01-21,-0.06034124011652098
2020-01-22,-0.05158026805807259
2020-01-22,-0.07436490505160454
2020-01-22,-0.05158026805807259
2020-01-22,-0.07436490505160454
2020-01-23,-0.05934671389216839
2020-01-23,-0.07275724953932683
2020-01-23,-0.05934671389216839
2020-01-23,-0.07275724953932683
2020-01-28,-0.09802811401796174
2020-01-28,-0.09511311330917638
2020-01-28,-0.09802811401796174
2020-01-28,-0.09511311330917638
2020-01-29,-0.09793111509389862
2020-01-29,-0.09054306196602169
2020-01-29,-0.09793111509389862
2020-01-29,-0.09054306196602169
2020-01-30,-0.08350072312389523
2020-01-30,-0.11640652232851778
2020-01-30,-0.08350072312389523
2020-01-30,-0.11640652232851778
2020-01-31,-0.095113315864221
2020-01-31,-0.12548087146474896
2020-01-31,-0.095113315864221
2020-01-31,-0.12548087146474896
2020-02-03,-0.093490669149496
2020-02-03,-0.1277072296665629
2020-02-03,-0.093490669149496
2020-02-03,-0.1277072296665629
2020-02-04,-0.1286232583272222
2020-02-04,-0.08604566431867877
2020-02-04,-0.1286232583272222
2020-02-04,-0.08604566431867877
2020-02-05,-0.09040747028862484
2020-02-05,-0.12513608087091754
2020-02-05,-0.09040747028862484
2020-02-05,-0.12513608087091754
2020-02-06,-0.05112763473237869
2020-02-06,-0.09321718704120585
2020-02-06,-0.05112763473237869
2020-02-06,-0.09321718704120585
2020-02-07,-0.09570691717821489
2020-02-07,-0.06983922051199287
2020-02-07,-0.09570691717821489
2020-02-07,-0.06983922051199287
2020-02-10,-0.09675897718115534
2020-02-10,-0.08801174812962631
2020-02-10,-0.09675897718115534
2020-02-10,-0.08801174812962631
2020-02-11,-0.10568554093085458
2020-02-11,-0.08451402944795006
2020-02-11,-0.10568554093085458
2020-02-11,-0.08451402944795006
2020-02-12,-0.08870253351443924
2020-02-12,-0.10227471057071369
2020-02-12,-0.08870253351443924
2020-02-12,-0.10227471057071369
2020-02-13,-0.10177103967678036
2020-02-13,-0.09922703223649276
2020-02-13,-0.10177103967678036
2020-02-13,-0.09922703223649276
2020-02-14,-0.10079936840027637
2020-02-14,-0.10211080234139425
2020-02-14,-0.10079936840027637
2020-02-14,-0.10211080234139425
2020-02-17,-0.11121782935100066
2020-02-17,-0.107790086775152
2020-02-17,-0.11121782935100066
2020-02-17,-0.107790086775152
2020-02-18,-0.12692789477804745
2020-02-18,-0.12325563111757531
2020-02-18,-0.12692789477804745
2020-02-18,-0.12325563111757531
2020-02-19,-0.12542573087902353
2020-02-19,-0.13117286968766495
2020-02-19,-0.12542573087902353
2020-02-19,-0.13117286968766495
2020-02-20,-0.146978450968145
2020-02-20,-0.1423917736174889
2020-02-20,-0.146978450968145
2020-02-20,-0.1423917736174889
2020-02-21,-0.16760391906777206
2020-02-21,-0.16563680387409196
2020-02-21,-0.16760391906777206
2020-02-21,-0.16563680387409196
2020-02-24,-0.1996765267547449
2020-02-24,-0.20621943912951046
2020-02-24,-0.1996765267547449
2020-02-24,-0.20621943912951046
2020-02-25,-0.1986292113138335
2020-02-25,-0.1928163043055502
2020-02-25,-0.1986292113138335
2020-02-25,-0.1928163043055502
2020-02-26,-0.20937614220033474
2020-02-26,-0.20012844965162901
2020-02-26,-0.20937614220033474
2020-02-26,-0.20012844965162901
2020-02-27,-0.19920605577069028
2020-02-27,-0.21674914350970687
2020-02-27,-0.19920605577069028
2020-02-27,-0.21674914350970687
2020-02-28,-0.22204672204672216
2020-02-28,-0.24171291720520038
2020-02-28,-0.22204672204672216
2020-02-28,-0.24171291720520038
2020-03-02,-0.2189813907933399
2020-03-03,-0.21870851877879283
2020-03-04,-0.19228195843828721
2020-03-05,-0.17115011291153281
