,시가,고가,저가,종가,거래량,거래대금,상장시가총액,날짜,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
229,324.84,325.38,323.42,324.68,125459527,4135934800605,1392307254729910,2017-12-08,330.6465,40.52507790998139,322.66946477380924,330.6465,338.62353522619077,4.8251139668442065,0.12602020482432102
230,325.13,325.4,323.34,325.09,90620838,3722365705237,1399568906125225,2017-12-11,330.18449999999996,41.49115414868366,322.04566599260744,330.18449999999996,338.3233340073925,4.929870425409138,0.18702519332789938
231,325.15,325.26,323.27,324.07,91125283,4039764211083,1394067214187330,2017-12-12,329.707,39.76080522129684,321.31381919652085,329.707,338.10018080347913,5.09129669887454,0.1641916734557087
232,324.14,326.58,323.13,326.18,90539672,4182221522775,1405237663502935,2017-12-13,329.40749999999997,44.881647148689794,320.959934966223,329.40749999999997,337.85506503377695,5.128945172029771,0.3089686207152572
233,327.0,331.22,324.74,324.74,134155182,7272529973656,1398150282775565,2017-12-14,328.9265,42.24242599135405,320.5666213525618,328.9265,337.28637864743814,5.083128691326583,0.24960760935908474
234,327.39,328.34,325.36,326.23,128652626,4878527064241,1405849427898625,2017-12-15,328.529,45.79432196509848,320.4549727520961,328.529,336.60302724790387,4.915259990992498,0.3576299082594234
235,327.09,327.16,325.64,326.6,103730896,3593469759174,1406408775747340,2017-12-18,328.21299999999997,46.671347113747395,320.35943240304795,328.21299999999997,336.066567596952,4.7856529734971005,0.39730781711066254
236,327.62,329.43,325.82,326.76,86085462,4205242935363,1405614319080270,2017-12-19,327.8755,47.070161464020416,320.389947315001,327.8755,335.361052684999,4.566094560282176,0.4254898036964289
237,326.2,327.51,325.55,325.79,66251852,3727956598415,1402329249456150,2017-12-20,327.3905,44.87892597275666,320.72969381757,327.3905,334.0513061824299,4.0690283819658495,0.3798568854756805
238,325.82,325.88,319.72,319.72,86541346,4507851681486,1377043146794080,2017-12-21,326.651,34.161660698714215,320.0321816764698,326.651,333.2698183235302,4.052532105231704,-0.023582886038732667
239,320.86,321.89,319.55,321.21,81169545,3914488598346,1382722712877235,2017-12-22,325.9395,38.0711226726655,320.2601145579032,325.9395,331.6188854420968,3.4849322908679774,0.08362572427784462
240,322.14,323.43,318.89,318.89,87522605,4721094978690,1374770757674485,2017-12-26,325.40749999999997,34.623674964159605,319.20394658281214,325.40749999999997,331.6110534171878,3.812790680723606,-0.025303770411834944
241,318.18,320.25,316.9,320.25,74283096,4023741701524,1379639830446335,2017-12-27,324.8705,38.15888269277251,318.8357921363247,324.8705,330.9052078636753,3.715146720724285,0.11717285207688678
242,320.63,324.74,320.34,324.74,68940395,3382317505504,1397907314288555,2017-12-28,324.5735,48.131135705553234,319.15887064981314,324.5735,329.9881293501869,3.3364580596918016,0.5153750136188212
243,325.73,326.45,324.3,326.0,70743522,3696938947310,1404095469835810,2018-01-02,324.611,50.54141058571205,319.1678358466876,324.611,330.0541641533124,3.353653544280637,0.6275912282706687
244,327.13,328.37,326.56,327.13,109848429,4684188040857,1407647304383995,2018-01-03,324.72850000000005,52.6657687755802,319.17546740511057,324.72850000000005,330.28153259488954,3.420107933174628,0.7162331986138589
245,329.52,329.52,324.58,324.58,106564749,5672704382845,1396461293869855,2018-01-04,324.519,47.6879291205743,319.28466374791367,324.519,329.75333625208634,3.2259043397066653,0.5058269088058361
246,326.06,329.03,325.78,328.97,96164059,4876293484694,1412870728164375,2018-01-05,324.48699999999997,55.4880008767742,319.3710637220636,324.48699999999997,329.60293627793635,3.153245755877052,0.9381407191616125
247,330.83,331.65,328.47,331.28,88480267,5119132468670,1424437858427550,2018-01-08,324.825,58.95599652550068,318.913605917391,324.825,330.73639408260897,3.63974083436249,1.0459795024485228
248,330.67,332.7,328.53,330.25,100983981,5782221228526,1422983737262555,2018-01-09,325.158,56.82987505338869,318.8269571159323,325.158,331.4890428840677,3.8941332423423067,0.9021454358502442
249,330.87,330.97,327.07,327.61,140728353,6932605706198,1414797887385730,2018-01-10,325.3045,51.68498746999631,318.88943811410184,325.3045,331.7195618858982,3.9440351337889163,0.6796942914196998
250,326.92,327.98,325.07,325.67,120937660,6069708598483,1405429263823275,2018-01-11,325.3335,48.229610535176,318.9173351798053,325.3335,331.7496648201947,3.9443615982951,0.5262228301041205
251,327.34,327.5,324.22,326.72,143376639,7230028153840,1410526099749390,2018-01-12,325.466,50.171313123733206,319.05022756015273,325.466,331.8817724398473,3.942514695757636,0.5977279050774649
252,328.57,328.94,326.21,327.39,98449639,4606554901242,1414074677247875,2018-01-15,325.5265,51.42329914605123,319.06229927602004,325.5265,331.99070072397996,3.9715357883182825,0.644140016652565
253,327.44,330.5,326.65,330.02,107815819,5264950740754,1424522942779050,2018-01-16,325.7905,56.087466851652515,319.0509377738682,325.7905,332.5300622261318,4.137359576864148,0.8137815082113661
254,329.31,330.21,328.03,329.19,95197163,4888699784862,1420446925606830,2018-01-17,325.9385,54.31502042897895,319.0387339894818,325.9385,332.83826601051817,4.233783987174386,0.7356239323944714
255,331.03,331.88,328.77,329.13,94897476,5090818410244,1419577648525815,2018-01-18,326.065,54.18172417248747,319.02991791093365,326.065,333.10008208906635,4.315140900781347,0.7178368326905169
256,329.81,330.55,328.51,329.52,94693624,4704660816767,1421625672085050,2018-01-19,326.20300000000003,54.95553968824528,319.012241764605,326.20300000000003,333.39375823539507,4.408762785992181,0.7306432709469146
257,328.78,328.84,324.56,326.27,80821473,4661310148889,1409777788832385,2018-01-22,326.227,47.72243539541079,319.0387120258088,326.227,333.41528797419113,4.40692399721124,0.5029909764435143
258,327.42,330.93,327.17,330.93,102543043,5157944203365,1429932674007690,2018-01-23,326.7875,56.552523654540224,319.9779276933202,326.7875,333.5970723066798,4.1675843211137495,0.8041674141514314
259,330.37,332.44,329.86,330.91,89710389,4997151797348,1429778867392680,2018-01-24,327.2725,56.50840812135248,320.7451211233069,327.2725,333.79987887669307,3.988956528087812,0.7786340481160242
260,330.67,334.5,330.6,334.08,124683283,5700828530578,1442844598844185,2018-01-25,328.03200000000004,61.618985231039446,322.0725986877962,328.03200000000004,333.9914013122039,3.633426807265054,1.0074335225263868
261,333.75,335.38,332.51,335.38,112866799,5884213779499,1448851150715025,2018-01-26,328.7885,63.51253658311679,323.1394283063591,328.7885,334.4375716936409,3.4362951828551824,1.0834144402362578
262,337.28,339.27,337.05,338.05,121234328,5917987438499,1461734313346550,2018-01-29,329.454,67.10239640226571,322.81943475426664,329.454,336.0885652457334,4.0276125017352165,1.1478193884315189
263,336.62,337.88,333.4,333.4,109651135,5931311549926,1442586422939785,2018-01-30,329.82399999999996,56.64910117909508,323.1758411571404,329.82399999999996,336.4721588428595,4.031337224010123,0.7689466425611062
264,332.38,338.48,331.65,333.38,113798703,8884895388505,1441797403935160,2018-01-31,330.13649999999996,56.6082545073129,323.43688127951356,330.13649999999996,336.83611872048635,4.058696157793155,0.7420660141510679
265,335.06,335.66,332.93,333.36,92493025,5953451583993,1443208457463360,2018-02-01,330.5755,56.56433160846885,324.24958038306755,330.5755,336.9014196169324,3.827216243752138,0.7200865778112986
266,332.69,332.69,326.3,327.01,100573692,6408709919865,1417450397129950,2018-02-02,330.4775,44.70423316272445,323.9963060513598,330.4775,336.95869394864025,3.922320853093009,0.23249527575644285
267,322.05,324.64,320.6,323.29,101936202,6168728067747,1400044416108470,2018-02-05,330.078,39.48154950527564,322.8967254613201,330.078,337.25927453867985,4.351259119771614,0.02738194568120589
268,316.62,319.15,312.62,318.01,126683154,6854096008937,1377437023527260,2018-02-06,329.466,33.4993941170246,320.5669025176767,329.466,338.36509748232334,5.402134048626157,-0.14366077699202526
269,322.06,322.1,310.47,310.48,106916193,6252780309871,1344909701656465,2018-02-07,328.60949999999997,27.175474111605855,316.45778164415026,328.60949999999997,340.7612183558497,7.395841176746083,-0.2459644582394637
