news_title,news_category,news_date
"<유>AJ렌터카, 3.03% 오르며 체결강도 강세 지속(146%)",증권News봇,2019.03.20
[머니+] 공기청정기... LPG... 벤처캐피탈... 뜨는 '정책 수혜株' 올라타볼까,증권증권일반,2019.03.16
"<유>AJ렌터카, 3.03% 오르며 체결강도 강세 지속(201%)",증권News봇,2019.03.13
"<유>AJ렌터카, 4.52% 오르며 체결강도 강세 지속(155%)",증권News봇,2019.03.12
"<유>AJ렌터카, 4.52% 오르며 체결강도 강세 지속(157%)",증권News봇,2019.03.12
"<유>AJ렌터카, 5.43% 오르며 체결강도 강세 지속(253%)",증권News봇,2019.03.12
"<유>AJ렌터카, 3.00% 오르며 체결강도 강세 지속(199%)",증권News봇,2019.02.14
"[SEN]KTB투자 ""AJ렌터카, 올해 실적 턴어라운드 예상""",증권종목·투자전략,2019.02.14
"[오늘의종목]AJ렌터카, SK그룹 편입으로 시너지 효과",증권종목·투자전략,2019.02.08
"<유>AJ렌터카, 3.16% 오르며 체결강도 강세 지속(106%)",증권News봇,2019.01.09
"<유>AJ렌터카, 3.20% 오르며 체결강도 강세 지속(186%)",증권News봇,2019.01.08
기업공시[1월 3일],증권,2019.01.04
[장 마감 후 기업공시] 1월 3일,증권종목·투자전략,2019.01.03
