Date,LRHUTTTTJPM156S
2020-01-01,2.4
2020-02-01,2.4
2020-03-01,2.5
2020-04-01,2.6
2020-05-01,2.8
2020-06-01,2.8
2020-07-01,2.9
2020-08-01,3.0
2020-09-01,3.0
2020-10-01,3.1
2020-11-01,3.0
2020-12-01,3.1
