날짜,시가,고가,저가,종가,거래량,등락률
2020-12-01,4255,4315,4255,4300,4440,0.11641443538998836
2020-12-02,4320,4325,4240,4295,31556,-0.11627906976744186
2020-12-03,4325,4325,4250,4295,9835,0.0
2020-12-04,4240,4295,4240,4295,7813,0.0
2020-12-07,4325,4325,4265,4305,7664,0.23282887077997672
2020-12-08,4320,4335,4285,4325,14036,0.4645760743321719
2020-12-09,4340,4345,4300,4330,12597,0.11560693641618498
2020-12-10,4330,4340,4300,4305,10602,-0.5773672055427251
2020-12-11,4340,4495,4310,4495,42523,4.413472706155633
2020-12-14,4495,4750,4450,4545,110937,1.1123470522803114
2020-12-15,4545,4545,4445,4485,23177,-1.3201320132013201
2020-12-16,4500,4645,4440,4535,51404,1.1148272017837235
2020-12-17,4590,4620,4525,4570,34938,0.7717750826901874
2020-12-18,4600,4605,4545,4580,10089,0.2188183807439825
2020-12-21,4585,4585,4450,4575,11855,-0.10917030567685589
2020-12-22,4575,4590,4360,4415,42402,-3.4972677595628414
2020-12-23,4415,4430,4355,4370,11520,-1.0192525481313703
2020-12-24,4425,4440,4370,4415,6781,1.0297482837528604
2020-12-28,4415,4510,4400,4400,23419,-0.33975084937712347
2020-12-29,4350,4600,4305,4565,97867,3.75
2020-12-30,4565,4565,4395,4460,27499,-2.3001095290251916
