rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,연결구분
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 20 기,1524614486812,제 19 기,1070178401185,제 18 기,610303762004,1,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 20 기,564017008354,제 19 기,204171938433,제 18 기,124651345631,2,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 20 기,174453035196,제 19 기,204793967045,제 18 기,114947835227,3,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 20 기,52057363673,제 19 기,12151156726,제 18 기,5367975185,4,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 20 기,452687025822,제 19 기,271455718818,제 18 기,303212892236,5,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 20 기,281400053767,제 19 기,377605620163,제 18 기,62123713725,6,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 20 기,884630052883,제 19 기,831359660173,제 18 기,290734242968,7,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 20 기,11744094867,제 19 기,12446862466,제 18 기,0,8,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 측정 금융자산,-,제 20 기,14661641460,제 19 기,11706025020,제 18 기,0,9,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,-,제 20 기,197847065,제 19 기,1002915000,제 18 기,0,10,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 20 기,0,제 19 기,0,제 18 기,10001000000,11,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,-,제 20 기,12669926621,제 19 기,11805270816,제 18 기,6767318042,12,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 20 기,216595363247,제 19 기,219223061205,제 18 기,145550045704,13,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 20 기,39711402642,제 19 기,0,제 18 기,0,14,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 20 기,531676909400,제 19 기,515615993960,제 18 기,81011738701,15,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 20 기,2349033662,제 19 기,6397710470,제 18 기,9906459021,16,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 20 기,55023833919,제 19 기,53161821236,제 18 기,37497681500,17,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 20 기,2409244539695,제 19 기,1901538061358,제 18 기,901038004972,18,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 20 기,1170276823296,제 19 기,872581020302,제 18 기,477206183500,20,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 20 기,163950449641,제 19 기,137926561515,제 18 기,160065047695,21,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,-표준계정코드 미사용-,차입금및사채,-,제 20 기,70000000000,제 19 기,72107090237,제 18 기,80000000000,22,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,-,제 20 기,48500307429,제 19 기,24799927986,제 18 기,10924038492,23,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 20 기,873228643014,제 19 기,633723770929,제 18 기,213869411287,24,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 20 기,0,제 19 기,214426807,제 18 기,0,25,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 20 기,14597423212,제 19 기,3809242828,제 18 기,12347686026,26,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 20 기,270527127380,제 19 기,207991486960,제 18 기,107043415781,27,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,-표준계정코드 미사용-,차입금및사채,-,제 20 기,69854009429,제 19 기,49085954478,제 18 기,29918278715,28,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타금융부채,-,제 20 기,16850729792,제 19 기,182614179,제 18 기,947953384,29,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 20 기,158790303886,제 19 기,134627314806,제 18 기,64824801914,30,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 20 기,25030175825,제 19 기,24095603497,제 18 기,11352381768,31,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 20 기,1908448,제 19 기,0,제 18 기,0,32,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 20 기,1440803950676,제 19 기,1080572507262,제 18 기,584249599281,33,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 20 기,968440589019,제 19 기,820965554096,제 18 기,316788405691,35,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 20 기,551151945000,제 19 기,510335620000,제 18 기,270000000000,36,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 20 기,327003396409,제 19 기,269144991928,제 18 기,-1640525725,37,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 20 기,-1617871751,제 19 기,-88653440,제 18 기,0,38,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 20 기,91903119361,제 19 기,41573595608,제 18 기,48428931416,39,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 20 기,0,제 19 기,0,제 18 기,0,40,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 20 기,968440589019,제 19 기,820965554096,제 18 기,316788405691,41,KRW,,연결
20200327002114,11011,2019,00339391,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 20 기,2409244539695,제 19 기,1901538061358,제 18 기,901038004972,42,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 20 기,1545983879623,제 19 기,1128924550887,제 18 기,858639721314,0,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 20 기,1310510602044,제 19 기,985156652844,제 18 기,768377921355,1,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 20 기,235473277579,제 19 기,143767898043,제 18 기,90261799959,2,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 20 기,149711295969,제 19 기,98986640161,제 18 기,59352989321,3,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 20 기,85761981610,제 19 기,44781257882,제 18 기,30908810638,4,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 20 기,2638354385,제 19 기,2255673538,제 18 기,2372097003,5,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 20 기,8788954546,제 19 기,4632349436,제 18 기,4616575841,6,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 20 기,7665900462,제 19 기,3630967528,제 18 기,743685263,7,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 20 기,5105742470,제 19 기,3831670197,제 18 기,4171285768,8,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 20 기,82171539441,제 19 기,42203879315,제 18 기,25236731295,9,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 20 기,9275429766,제 19 기,961570456,제 18 기,11163579736,10,KRW,,연결
20200327002114,11011,2019,00339391,CIS,포괄손익계산서,ifrs-full_ProfitLoss,당기순이익,-,제 20 기,72896109675,제 19 기,41242308859,제 18 기,14073151559,11,KRW,,연결
