rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 57 기 반기말,563771859083,제 56 기말,544042879787,7,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 57 기 반기말,373828745423,제 56 기말,357467077593,8,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 57 기 반기말,34345078521,제 56 기말,32339219845,9,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 57 기 반기말,37277281743,제 56 기말,43919751884,10,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 57 기 반기말,2125218409,제 56 기말,2103855662,11,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 57 기 반기말,5226698610,제 56 기말,3817145004,12,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 57 기 반기말,257095810000,제 56 기말,240710880000,13,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 57 기 반기말,37758658140,제 56 기말,34576225198,14,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 57 기 반기말,189943113660,제 56 기말,186575802194,15,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,-,제 57 기 반기말,2363474067,제 56 기말,2620628214,16,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기투자자산,-,제 57 기 반기말,27119307141,제 56 기말,23107885367,17,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 57 기 반기말,4609511195,제 56 기말,3472151461,18,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 57 기 반기말,614572425,제 56 기말,598853408,19,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 57 기 반기말,333703610,제 56 기말,344926631,20,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,-,제 57 기 반기말,22103624419,제 56 기말,21495155952,21,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 57 기 반기말,110000000,제 56 기말,110000000,22,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 57 기 반기말,132676589057,제 56 기말,134812327947,23,KRW,,,,,연결
20240814002265,11012,2024,00127200,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 57 기 반기말,12331746,제 56 기말,13873214,24,KRW,,,,,연결
