날짜,시가,고가,저가,종가,거래량,등락률
2024-11-01,8260,8260,8180,8240,574,-0.12121212121212122
2024-11-04,8240,8310,8210,8290,2027,0.6067961165048543
2024-11-05,8290,8460,8240,8370,2399,0.9650180940892641
2024-11-06,8370,8370,8190,8280,2370,-1.0752688172043012
2024-11-07,8280,8280,8110,8160,2834,-1.4492753623188406
2024-11-08,8180,8240,8100,8190,3533,0.3676470588235294
2024-11-11,8110,8190,7800,8020,4138,-2.0757020757020754
2024-11-12,8020,8020,7680,7720,4704,-3.7406483790523692
2024-11-13,7730,7740,7330,7400,5716,-4.145077720207254
2024-11-14,7400,7600,7230,7530,3182,1.7567567567567568
2024-11-15,7530,7740,7270,7700,9846,2.257636122177955
2024-11-18,7720,8000,7720,7900,1621,2.5974025974025974
2024-11-19,7660,7990,7660,7880,1348,-0.25316455696202533
2024-11-20,7810,7920,7410,7840,2061,-0.5076142131979695
2024-11-21,7890,7890,7410,7640,2049,-2.5510204081632653
2024-11-22,7650,7800,7570,7670,1119,0.3926701570680628
2024-11-25,7650,8200,7650,8000,15181,4.3024771838331155
2024-11-26,8000,8190,7740,8150,2447,1.875
2024-11-27,8170,8200,7870,8050,2509,-1.2269938650306749
2024-11-28,7950,8600,7930,8340,18372,3.602484472049689
2024-11-29,8290,8290,8010,8150,2387,-2.278177458033573
