Date,LRHUTTTTEZM156S
2020-01-01,7.5
2020-02-01,7.4
2020-03-01,7.2
2020-04-01,7.4
2020-05-01,7.6
2020-06-01,8.1
2020-07-01,8.5
2020-08-01,8.6
2020-09-01,8.6
2020-10-01,8.4
2020-11-01,8.2
2020-12-01,8.2
