날짜,시가,고가,저가,종가,거래량,등락률
2024-10-02,5880,5880,5770,5860,3802,-0.5093378607809848
2024-10-04,5940,5960,5780,5920,2367,1.023890784982935
2024-10-07,5960,6730,5930,5990,32901,1.1824324324324325
2024-10-08,6030,6120,5930,6060,4271,1.1686143572621035
2024-10-10,6060,6060,5930,6040,1847,-0.33003300330033003
2024-10-11,6030,6030,5900,5980,2865,-0.9933774834437087
2024-10-14,5870,6450,5870,5970,36987,-0.16722408026755853
2024-10-15,6030,6070,5930,5950,2961,-0.33500837520938026
2024-10-16,5990,5990,5880,5940,1685,-0.16806722689075632
2024-10-17,5890,5920,5810,5880,3281,-1.0101010101010102
2024-10-18,5900,5970,5840,5900,1912,0.3401360544217687
2024-10-21,5960,5960,5610,5900,3047,0.0
2024-10-22,5880,6060,5810,5880,4643,-0.3389830508474576
2024-10-23,5860,5990,5860,5990,1139,1.870748299319728
2024-10-24,5940,6000,5900,5970,2516,-0.333889816360601
2024-10-25,5900,5980,5870,5880,2118,-1.507537688442211
2024-10-28,5960,5960,5870,5910,1205,0.5102040816326531
2024-10-29,5910,6080,5900,6050,4952,2.3688663282571913
2024-10-30,6000,6020,5900,5990,3247,-0.9917355371900827
2024-10-31,5980,6200,5820,6080,13685,1.5025041736227045
