Date,DEXUSUK
2024-01-01,
2024-01-02,1.2632
2024-01-03,1.2641
2024-01-04,1.2692
2024-01-05,1.274
2024-01-08,1.2766
2024-01-09,1.272
2024-01-10,1.273
2024-01-11,1.2712
2024-01-12,1.2746
2024-01-15,
2024-01-16,1.2657
2024-01-17,1.2666
2024-01-18,1.2687
2024-01-19,1.2677
2024-01-22,1.2728
2024-01-23,1.2661
2024-01-24,1.2754
2024-01-25,1.27
2024-01-26,1.272
2024-01-29,1.2681
2024-01-30,1.2683
2024-01-31,1.2733
2024-02-01,1.2727
2024-02-02,1.2627
2024-02-05,1.2532
2024-02-06,1.2589
2024-02-07,1.2629
2024-02-08,1.262
2024-02-09,1.2628
2024-02-12,1.2631
2024-02-13,1.2606
2024-02-14,1.2562
2024-02-15,1.258
2024-02-16,1.259
2024-02-19,
2024-02-20,1.2645
2024-02-21,1.2624
2024-02-22,1.2649
2024-02-23,1.2678
2024-02-26,1.2681
2024-02-27,1.2693
2024-02-28,1.267
2024-02-29,1.2632
2024-03-01,1.2652
2024-03-04,1.2701
2024-03-05,1.2712
2024-03-06,1.2757
2024-03-07,1.2796
2024-03-08,1.2852
2024-03-11,1.2807
2024-03-12,1.2786
2024-03-13,1.2799
2024-03-14,1.2749
2024-03-15,1.2742
2024-03-18,1.2736
2024-03-19,1.2713
2024-03-20,1.2713
2024-03-21,1.267
2024-03-22,1.2603
2024-03-25,1.2648
2024-03-26,1.263
2024-03-27,1.2631
2024-03-28,1.2634
2024-03-29,1.2637
