투자자구분,매도,매수,순매수
금융투자,58820357000,216337175200,157516818200
보험,28120593900,3363049200,-24757544700
투신,27480545200,15086348300,-12394196900
사모,6302785200,23818067500,17515282300
은행,146466800,1287725000,1141258200
기타금융,58679600,683061600,624382000
연기금 등,504927209100,488393287600,-16533921500
기관합계,625856636800,748968714400,123112077600
기타법인,2276112800,3858768200,1582655400
개인,254817013000,237389811800,-17427201200
외국인,801289049800,694042888000,-107246161800
기타외국인,710526400,689156400,-21370000
전체,1684949338800,1684949338800,0
