투자자구분,매도,매수,순매수
금융투자,79366701400,61676957000,-17689744400
보험,2490493100,3194933100,704440000
투신,4340541400,7342705500,3002164100
사모,806707500,3664880500,2858173000
은행,332786100,155733400,-177052700
기타금융,31026800,658268800,627242000
연기금 등,300135749200,295836874500,-4298874700
기관합계,387504005500,372530352800,-14973652700
기타법인,946556600,1025437500,78880900
개인,105156669900,109951760100,4795090200
외국인,153752428372,163765449172,10013020800
기타외국인,139334200,225995000,86660800
전체,647498994572,647498994572,0
