투자자구분,매도,매수,순매수
금융투자,250926295500,168106328000,-82819967500
보험,6918705000,7023034400,104329400
투신,20778378900,19574116300,-1204262600
사모,8254059900,29943955800,21689895900
은행,1046014900,3294921600,2248906700
기타금융,294167700,1092052300,797884600
연기금 등,592589135600,591163307900,-1425827700
기관합계,880806757500,820197716300,-60609041200
기타법인,7139549900,8561519500,1421969600
개인,486978805000,404177902500,-82800902500
외국인,464100298397,608062415097,143962116700
기타외국인,3255459000,1281316400,-1974142600
전체,1842280869797,1842280869797,0
