투자자구분,매도,매수,순매수
금융투자,369641451900,168763060200,-200878391700
보험,9689942700,2643049200,-7046893500
투신,20779851700,11169821600,-9610030100
사모,15259499500,2176775200,-13082724300
은행,2049647800,3408288000,1358640200
기타금융,146684000,3955207700,3808523700
연기금 등,748211359100,678543483300,-69667875800
기관합계,1165778436700,870659685200,-295118751500
기타법인,3854817000,9987381500,6132564500
개인,245452319500,694489921100,449037601600
외국인,824700133700,662806598100,-161893535600
기타외국인,802054100,2644175100,1842121000
전체,2240587761000,2240587761000,0
