투자자구분,매도,매수,순매수
금융투자,243617657900,80827199300,-162790458600
보험,8286967000,6139778200,-2147188800
투신,42199551300,18890440200,-23309111100
사모,2748372100,20807841800,18059469700
은행,0,2624178300,2624178300
기타금융,241064000,2427485900,2186421900
연기금 등,756117003400,684068525200,-72048478200
기관합계,1053210615700,815785448900,-237425166800
기타법인,5219151800,5732006100,512854300
개인,288298095100,445280243200,156982148100
외국인,401895149100,480963503900,79068354800
기타외국인,665322500,1527132100,861809600
전체,1749288334200,1749288334200,0
