투자자구분,매도,매수,순매수
금융투자,264902944300,162443436700,-102459507600
보험,5612026500,13086933000,7474906500
투신,45815149000,27142574700,-18672574300
사모,11117363600,6550878900,-4566484700
은행,401845800,1433264600,1031418800
기타금융,131425800,108950800,-22475000
연기금 등,756415643200,709123404400,-47292238800
기관합계,1084396398200,919889443100,-164506955100
기타법인,5293637500,3432486700,-1861150800
개인,317940609000,318568725700,628116700
외국인,477172966928,642322937028,165149970100
기타외국인,633400800,1223419900,590019100
전체,1885437012428,1885437012428,0
