투자자구분,매도,매수,순매수
금융투자,126449296400,101763798900,-24685497500
보험,3885958100,2489419600,-1396538500
투신,20735754400,12698931300,-8036823100
사모,9607313400,21042886100,11435572700
은행,735800,1542941800,1542206000
기타금융,449381200,1620826400,1171445200
연기금 등,532771723600,547801581600,15029858000
기관합계,693900162900,688960385700,-4939777200
기타법인,8625011500,4190291200,-4434720300
개인,243648114900,218384179400,-25263935500
외국인,393694523100,428329402700,34634879600
기타외국인,506911300,510464700,3553400
전체,1340374723700,1340374723700,0
