Date,IR3TIB01CNM156N
2022-01-01,3.32
2022-02-01,3.2
2022-03-01,3.17
2022-04-01,2.99
2022-05-01,2.81
2022-06-01,2.76
2022-07-01,2.79
2022-08-01,2.5
2022-09-01,2.36
2022-10-01,2.43
2022-11-01,2.68
2022-12-01,2.79
