rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 2 기 반기말,1491379826195,제 1 기말,1428058178816,1,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 반기말,88294636775,제 1 기말,84734537962,2,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 2 기 반기말,831238613527,제 1 기말,772214725522,3,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 2 기 반기말,23183625821,제 1 기말,21801471228,4,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 2 기 반기말,23286951727,제 1 기말,31459286821,5,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_Inventories,재고자산,-,제 2 기 반기말,524737835407,제 1 기말,517313518503,6,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 2 기 반기말,638162938,제 1 기말,534638780,7,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 2 기 반기말,1793789229302,제 1 기말,1710786079882,8,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 2 기 반기말,13842866030,제 1 기말,8975223854,9,KRW,,연결,,,
20190814002358,11012,2019,01316227,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 2 기 반기말,1515610415312,제 1 기말,1439546936080,10,KRW,,연결,,,
