날짜,시가,고가,저가,종가,거래량,등락률
2020-10-05,33934,34757,33934,34177,6025,-0.5615362234506838
2020-10-06,34515,34564,33886,34322,5034,0.42426193053808114
2020-10-07,33934,34951,33934,34758,4292,1.2703222422935727
2020-10-08,34370,34757,33983,33983,7379,-2.2297025145290292
2020-10-12,34176,34370,33983,34225,3313,0.7121207662654857
2020-10-13,34031,37081,34031,34855,31738,1.8407596785975164
2020-10-14,34854,34902,33934,33935,7350,-2.639506527040597
2020-10-15,33886,34612,32918,33886,9508,-0.14439369382643288
2020-10-16,33886,40663,33402,34613,130794,2.1454287906510063
2020-10-19,34370,34467,33208,33209,13228,-4.056279432583134
2020-10-20,32821,33789,32676,33015,5747,-0.5841789876238369
2020-10-21,33499,33692,32869,33305,4522,0.8783886112373164
2020-10-22,33111,33499,32724,33209,2504,-0.28824500825701843
2020-10-23,33402,33402,32821,32870,2295,-1.0208076123942305
2020-10-26,32434,32482,30304,30304,9514,-7.806510495892911
2020-10-27,30788,33547,29723,30449,20078,0.4784846884899684
2020-10-28,31078,31175,30497,30885,2598,1.4319025255345004
2020-10-29,30884,30884,30304,30595,3687,-0.9389671361502347
2020-10-30,32240,32240,30642,30691,5478,0.3137767609086452
