rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,연결구분
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 72 기 3분기,244879998000,,,17,KRW,1157570504000,제 71 기 3분기,336889652000,1134031576000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 72 기 3분기,72056392000,,,18,KRW,518385418000,제 71 기 3분기,122499655000,512146987000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 72 기 3분기,3174735385000,,,19,KRW,9373617819000,제 71 기 3분기,3044003851000,8502156800000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 72 기 3분기,332517925000,,,20,KRW,619687608000,제 71 기 3분기,150656933000,389055664000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_ProfitLoss,분기순이익,-,제 72 기 3분기,-295199439000,,,21,KRW,164149863000,제 71 기 3분기,356856024000,403394594000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 72 기 3분기,-128146241000,,,23,KRW,71026024000,제 71 기 3분기,219542947000,242873051000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주,-,제 72 기 3분기,-167053198000,,,24,KRW,93123839000,제 71 기 3분기,137313077000,160521543000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 72 기 3분기,37318486000,,,25,KRW,783837471000,제 71 기 3분기,507512957000,792450258000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_Revenue,매출액,-,제 72 기 3분기,10845151437000,,,26,KRW,31963928136000,제 71 기 3분기,10619027201000,30686799768000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,-,제 72 기 3분기,2499887643000,,,27,KRW,7456264141000,제 71 기 3분기,2406535979000,7036454504000,,,연결
20241114002720,11014,2024,00148540,IS,손익계산서,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,공동기업 및 관계기업투자주식에  대한 지분법손익,-,제 72 기 3분기,3082455000,,,28,KRW,52735517000,제 71 기 3분기,-4171706000,-11156236000,,,연결
