날짜,시가총액,거래량,거래대금,상장주식수
2022-04-01,86205088350,6249,227457200,2365023
2022-04-04,86441590650,1883,68527150,2365023
2022-04-05,87269348700,2031,74557700,2365023
2022-04-06,87269348700,1639,60432200,2365023
2022-04-07,87505851000,3150,116148700,2365023
2022-04-08,87032846400,1041,38112150,2365023
2022-04-11,88924864800,15255,572031950,2365023
2022-04-12,89397869400,21328,814692150,2365023
2022-04-13,89870874000,3608,135846350,2365023
2022-04-14,89279618250,3021,113911400,2365023
2022-04-15,88451860200,1643,61372000,2365023
2022-04-18,87624102150,2179,80477900,2365023
2022-04-19,88806613650,1029,38369500,2365023
2022-04-20,88215357900,1191,44573450,2365023
2022-04-21,87978855600,3104,115734850,2365023
2022-04-22,88215357900,1502,55755550,2365023
2022-04-25,87978855600,2729,100673900,2365023
2022-04-26,88215357900,1950,72917450,2365023
2022-04-27,88924864800,4098,152291600,2365023
2022-04-28,89043115950,1815,68118300,2365023
2022-04-29,89397869400,2116,79807300,2365023
2022-05-02,89870874000,3013,113878100,2365023
2022-05-03,89397869400,1358,51224400,2365023
2022-05-04,89279618250,1540,57926850,2365023
2022-05-06,88924864800,2529,95790750,2365023
2022-05-09,87387599850,2725,101159100,2365023
2022-05-10,85850334900,2390,86718950,2365023
2022-05-11,87269348700,1265,46522450,2365023
2022-05-12,86205088350,3828,139606350,2365023
2022-05-13,85613832600,2007,72602550,2365023
2022-05-16,85968586050,1281,46431900,2365023
2022-05-17,88333609050,3614,133254400,2365023
2022-05-18,88451860200,2254,83980750,2365023
2022-05-19,86796344100,1499,55086700,2365023
2022-05-20,86678092950,781,28582200,2365023
2022-05-23,86678092950,1658,60502350,2365023
2022-05-24,86086837200,1224,44784150,2365023
2022-05-25,86914595250,2207,80578300,2365023
2022-05-26,86678092950,1026,37595050,2365023
2022-05-27,86441590650,1818,66263900,2365023
2022-05-30,87505851000,1572,57552800,2365023
2022-05-31,87978855600,3146,116980800,2365023
2022-06-02,88215357900,2194,82039650,2365023
2022-06-03,88097106750,1726,63987450,2365023
2022-06-07,87978855600,2720,100971400,2365023
2022-06-08,87978855600,1618,59959250,2365023
2022-06-09,87742353300,1316,48721750,2365023
2022-06-10,87505851000,1812,66634450,2365023
2022-06-13,84431321100,4209,151556400,2365023
2022-06-14,83367060750,1657,58231300,2365023
2022-06-15,84076567650,13697,496079550,2365023
2022-06-16,84549572250,2243,79795550,2365023
2022-06-17,85850334900,1796,64508100,2365023
2022-06-20,84549572250,2835,99895000,2365023
2022-06-21,83721814200,970,34457000,2365023
2022-06-22,83248809600,2404,84206650,2365023
2022-06-23,80647284300,1999,68544100,2365023
2022-06-24,82421051550,1884,65511250,2365023
2022-06-27,82421051550,1034,36031300,2365023
2022-06-28,82775805000,1310,45803400,2365023
2022-06-29,83248809600,478,16710750,2365023
2022-06-30,81829795800,977,33796900,2365023
