Date,MOM
2020-01-02,-0.09431246987537012
2020-01-02,-0.038613904806455546
2020-01-02,-0.09431246987537012
2020-01-02,-0.038613904806455546
2020-01-03,-0.040005601373810595
2020-01-03,-0.11330387958909993
2020-01-03,-0.040005601373810595
2020-01-03,-0.11330387958909993
2020-01-06,-0.04140650673677293
2020-01-06,-0.13392489625156045
2020-01-06,-0.04140650673677293
2020-01-06,-0.13392489625156045
2020-01-07,-0.017054946390061665
2020-01-07,-0.11469333041527607
2020-01-07,-0.017054946390061665
2020-01-07,-0.11469333041527607
2020-01-08,-0.06061104916977833
2020-01-08,-0.12523081854352613
2020-01-08,-0.06061104916977833
2020-01-08,-0.12523081854352613
2020-01-09,-0.04297355530869529
2020-01-09,-0.10595634428672907
2020-01-09,-0.04297355530869529
2020-01-09,-0.10595634428672907
2020-01-10,-0.026859690880057907
2020-01-10,-0.09028305872412334
2020-01-10,-0.026859690880057907
2020-01-10,-0.09028305872412334
2020-01-13,-0.018641841080003663
2020-01-13,-0.07946457027515141
2020-01-13,-0.018641841080003663
2020-01-13,-0.07946457027515141
2020-01-14,-0.0333953564836611
2020-01-14,-0.07332344702586913
2020-01-14,-0.0333953564836611
2020-01-14,-0.07332344702586913
2020-01-15,-0.05297397769516732
2020-01-15,-0.032690596262236804
2020-01-15,-0.05297397769516732
2020-01-15,-0.032690596262236804
2020-01-16,-0.04343560079080322
2020-01-16,-0.032783972280218565
2020-01-16,-0.04343560079080322
2020-01-16,-0.032783972280218565
2020-01-17,-0.04165178669037739
2020-01-17,-0.0390464567331934
2020-01-17,-0.04165178669037739
2020-01-17,-0.0390464567331934
2020-01-20,-0.039921085370611675
2020-01-20,-0.04143821017507232
2020-01-20,-0.039921085370611675
2020-01-20,-0.04143821017507232
2020-01-21,-0.056962210578696215
2020-01-21,-0.05380481071397103
2020-01-21,-0.056962210578696215
2020-01-21,-0.05380481071397103
2020-01-22,-0.057095533779396024
2020-01-22,-0.05752189799654306
2020-01-22,-0.057095533779396024
2020-01-22,-0.05752189799654306
2020-01-23,-0.061964612217279336
2020-01-23,-0.05555354230838927
2020-01-23,-0.061964612217279336
2020-01-23,-0.05555354230838927
2020-01-28,-0.1078460748223612
2020-01-28,-0.08430232558139539
2020-01-28,-0.1078460748223612
2020-01-28,-0.08430232558139539
2020-01-29,-0.10815104831616873
2020-01-29,-0.07549555908475958
2020-01-29,-0.10815104831616873
2020-01-29,-0.07549555908475958
2020-01-30,-0.06405608652665007
2020-01-30,-0.11651913232840294
2020-01-30,-0.06405608652665007
2020-01-30,-0.11651913232840294
2020-01-31,-0.062918620854998
2020-01-31,-0.11060228969636632
2020-01-31,-0.062918620854998
2020-01-31,-0.11060228969636632
2020-02-03,-0.05623807706982076
2020-02-03,-0.11546576077239412
2020-02-03,-0.05623807706982076
2020-02-03,-0.11546576077239412
2020-02-04,-0.102862894365648
2020-02-04,-0.029788049518991166
2020-02-04,-0.102862894365648
2020-02-04,-0.029788049518991166
2020-02-05,-0.0354016221271638
2020-02-05,-0.1105487498851323
2020-02-05,-0.0354016221271638
2020-02-05,-0.1105487498851323
2020-02-06,0.0014019674276233296
2020-02-06,-0.07164931332765323
2020-02-06,0.0014019674276233296
2020-02-06,-0.07164931332765323
2020-02-07,-0.07425971734004533
2020-02-07,-0.024785894974246436
2020-02-07,-0.07425971734004533
2020-02-07,-0.024785894974246436
2020-02-10,-0.08776910338301402
2020-02-10,-0.048292883587001234
2020-02-10,-0.08776910338301402
2020-02-10,-0.048292883587001234
2020-02-11,-0.09301978827188107
2020-02-11,-0.045655243517044974
2020-02-11,-0.09301978827188107
2020-02-11,-0.045655243517044974
2020-02-12,-0.04095328292170408
2020-02-12,-0.0758398927675108
2020-02-12,-0.04095328292170408
2020-02-12,-0.0758398927675108
2020-02-13,-0.06559232201690313
2020-02-13,-0.03188655303170851
2020-02-13,-0.06559232201690313
2020-02-13,-0.03188655303170851
2020-02-14,-0.04117594839320593
2020-02-14,-0.0626446424438788
2020-02-14,-0.04117594839320593
2020-02-14,-0.0626446424438788
2020-02-17,-0.05105144725172417
2020-02-17,-0.07190170327464585
2020-02-17,-0.05105144725172417
2020-02-17,-0.07190170327464585
2020-02-18,-0.08964941807393889
2020-02-18,-0.06040085677062246
2020-02-18,-0.08964941807393889
2020-02-18,-0.06040085677062246
2020-02-19,-0.0929565783170434
2020-02-19,-0.0817626451257999
2020-02-19,-0.0929565783170434
2020-02-19,-0.0817626451257999
2020-02-20,-0.11207745323268781
2020-02-20,-0.1197145241833949
2020-02-20,-0.11207745323268781
2020-02-20,-0.1197145241833949
2020-02-21,-0.13360917283214702
2020-02-21,-0.14753838192168356
2020-02-21,-0.13360917283214702
2020-02-21,-0.14753838192168356
2020-02-24,-0.15620551680181294
2020-02-24,-0.20561115296659038
2020-02-24,-0.15620551680181294
2020-02-24,-0.20561115296659038
2020-02-25,-0.14739594806819079
2020-02-25,-0.19267234128452726
2020-02-25,-0.14739594806819079
2020-02-25,-0.19267234128452726
2020-02-26,-0.1383065365442674
2020-02-26,-0.15929033804842962
2020-02-26,-0.1383065365442674
2020-02-26,-0.15929033804842962
2020-02-27,-0.1519983137740185
2020-02-27,-0.13272139355377066
2020-02-27,-0.1519983137740185
2020-02-27,-0.13272139355377066
2020-02-28,-0.17723820514196775
2020-02-28,-0.15095476134428176
2020-02-28,-0.17723820514196775
2020-02-28,-0.15095476134428176
2020-03-02,-0.18021499050725998
2020-03-03,-0.1358229710937393
2020-03-04,-0.08618195033977671
2020-03-05,-0.0589719111693342
