BPS,PER,PBR,EPS,DIV,DPS
43611,10.7,1.42,5777,2.34,1444
43611,10.99,1.46,5777,2.27,1444
43611,11.04,1.46,5777,2.26,1444
43611,10.66,1.41,5777,2.34,1444
43611,10.71,1.42,5777,2.33,1444
43611,10.92,1.45,5777,2.29,1444
43611,10.91,1.44,5777,2.29,1444
43611,10.87,1.44,5777,2.3,1444
43611,10.89,1.44,5777,2.3,1444
43611,10.94,1.45,5777,2.28,1444
43611,10.77,1.43,5777,2.32,1444
43611,11.03,1.46,5777,2.27,1444
43611,10.84,1.44,5777,2.31,1444
43611,10.85,1.44,5777,2.3,1444
43611,10.75,1.42,5777,2.33,1444
43611,10.58,1.4,5777,2.36,1444
43611,10.73,1.42,5777,2.33,1444
43611,10.61,1.41,5777,2.36,1444
43611,10.47,1.39,5777,2.39,1444
43611,10.49,1.39,5777,2.38,1444
