날짜,시가,고가,저가,종가,거래량,등락률
2020-09-01,31272,31707,30981,31418,4749,0.4668713225888974
2020-09-02,32192,32192,31030,31660,5018,0.7702590871474951
2020-09-03,31853,33837,31127,32870,29536,3.8218572331017056
2020-09-04,32434,36790,30013,32967,80873,0.2951019166413143
2020-09-07,42842,42842,41777,42842,192884,29.95419662086329
2020-09-08,41244,51120,39405,40131,789896,-6.327902525559032
2020-09-09,38146,40179,36984,37275,89803,-7.116692830978545
2020-09-10,37807,38436,35096,36162,35548,-2.9859154929577465
2020-09-11,34999,35822,33886,34903,26005,-3.4815552237155023
2020-09-14,35290,38436,34418,36258,88272,3.882187777554938
2020-09-15,36210,36597,35048,35581,13854,-1.8671741408792544
2020-09-16,35580,36210,34757,34806,20322,-2.17812877659425
2020-09-17,35338,35532,34080,34177,9040,-1.8071596851117624
2020-09-18,34080,34999,33741,34467,8345,0.8485238610761623
2020-09-21,34467,35096,33741,33886,8991,-1.6856703513505673
2020-09-22,33402,40663,32530,40664,163545,20.00236085699109
2020-09-23,37759,38775,35919,36839,100537,-9.406354515050168
2020-09-24,35774,36742,34370,34370,32480,-6.702136322918646
2020-09-25,34176,35338,33595,33596,14686,-2.251963922025022
2020-09-28,33595,34370,33499,33499,12835,-0.28872484819621386
2020-09-29,33692,37032,33692,34370,40146,2.600077614257142
