Date,MOM
2022-07-01,-0.2019464720194647
2022-07-01,-0.19999999999999996
2022-07-01,-0.2019464720194647
2022-07-01,-0.19999999999999996
2022-07-04,-0.18627450980392157
2022-07-04,-0.19024390243902434
2022-07-04,-0.18627450980392157
2022-07-04,-0.19024390243902434
2022-07-05,-0.1873479318734793
2022-07-05,-0.16708229426433918
2022-07-05,-0.1873479318734793
2022-07-05,-0.16708229426433918
2022-07-06,-0.21666666666666667
2022-07-06,-0.1775
2022-07-06,-0.21666666666666667
2022-07-06,-0.1775
2022-07-07,-0.17866004962779158
2022-07-07,-0.20623501199040772
2022-07-07,-0.17866004962779158
2022-07-07,-0.20623501199040772
2022-07-08,-0.21190476190476193
2022-07-08,-0.17866004962779158
2022-07-08,-0.21190476190476193
2022-07-08,-0.17866004962779158
2022-07-11,-0.21479713603818618
2022-07-11,-0.19362745098039214
2022-07-11,-0.21479713603818618
2022-07-11,-0.19362745098039214
2022-07-12,-0.18316831683168322
2022-07-12,-0.21615201900237535
2022-07-12,-0.18316831683168322
2022-07-12,-0.21615201900237535
2022-07-13,-0.1985645933014354
2022-07-13,-0.17079207920792083
2022-07-13,-0.1985645933014354
2022-07-13,-0.17079207920792083
2022-07-14,-0.20574162679425834
2022-07-14,-0.1761786600496278
2022-07-14,-0.20574162679425834
2022-07-14,-0.1761786600496278
2022-07-15,-0.2086330935251799
2022-07-15,-0.17910447761194026
2022-07-15,-0.2086330935251799
2022-07-15,-0.17910447761194026
2022-07-18,-0.22169811320754718
2022-07-18,-0.17500000000000004
2022-07-18,-0.22169811320754718
2022-07-18,-0.17500000000000004
2022-07-19,-0.16040100250626566
2022-07-19,-0.20616113744075826
2022-07-19,-0.16040100250626566
2022-07-19,-0.20616113744075826
2022-07-20,-0.2009569377990431
2022-07-20,-0.1629072681704261
2022-07-20,-0.2009569377990431
2022-07-20,-0.1629072681704261
2022-07-21,-0.1468354430379747
2022-07-21,-0.19570405727923623
2022-07-21,-0.1468354430379747
2022-07-21,-0.19570405727923623
2022-07-22,-0.1645885286783042
2022-07-22,-0.21545667447306793
2022-07-22,-0.1645885286783042
2022-07-22,-0.21545667447306793
2022-07-25,-0.16666666666666663
2022-07-25,-0.21911421911421913
2022-07-25,-0.16666666666666663
2022-07-25,-0.21911421911421913
2022-07-26,-0.16873449131513651
2022-07-26,-0.21728971962616828
2022-07-26,-0.16873449131513651
2022-07-26,-0.21728971962616828
2022-07-27,-0.1616915422885572
2022-07-27,-0.21990740740740744
2022-07-27,-0.1616915422885572
2022-07-27,-0.21990740740740744
2022-07-28,-0.16377171215880892
2022-07-28,-0.20892018779342725
2022-07-28,-0.16377171215880892
2022-07-28,-0.20892018779342725
2022-07-29,-0.15920398009950254
2022-07-29,-0.20470588235294118
2022-07-29,-0.15920398009950254
2022-07-29,-0.20470588235294118
2022-08-01,-0.1724137931034483
2022-08-01,-0.21678321678321677
2022-08-01,-0.1724137931034483
2022-08-01,-0.21678321678321677
2022-08-02,-0.21040189125295505
2022-08-02,-0.16500000000000004
2022-08-02,-0.21040189125295505
2022-08-02,-0.16500000000000004
2022-08-03,-0.15538847117794485
2022-08-03,-0.18990384615384615
2022-08-03,-0.15538847117794485
2022-08-03,-0.18990384615384615
2022-08-04,-0.1990407673860911
2022-08-04,-0.1586901763224181
2022-08-04,-0.1990407673860911
2022-08-04,-0.1586901763224181
2022-08-05,-0.19664268585131894
2022-08-05,-0.14102564102564108
2022-08-05,-0.19664268585131894
2022-08-05,-0.14102564102564108
2022-08-08,-0.13994910941475824
2022-08-08,-0.20657276995305163
2022-08-08,-0.13994910941475824
2022-08-08,-0.20657276995305163
2022-08-09,-0.15439429928741089
2022-08-09,-0.0871794871794872
2022-08-09,-0.15439429928741089
2022-08-09,-0.0871794871794872
2022-08-10,-0.16981132075471694
2022-08-10,-0.11335012594458438
2022-08-10,-0.16981132075471694
2022-08-10,-0.11335012594458438
2022-08-11,-0.18329466357308588
2022-08-11,-0.11111111111111116
2022-08-11,-0.18329466357308588
2022-08-11,-0.11111111111111116
2022-08-12,-0.10178117048346058
2022-08-12,-0.19221967963386732
2022-08-12,-0.10178117048346058
2022-08-12,-0.19221967963386732
2022-08-16,-0.10152284263959388
2022-08-16,-0.18807339449541283
2022-08-16,-0.10152284263959388
2022-08-16,-0.18807339449541283
2022-08-17,-0.11557788944723613
2022-08-17,-0.19266055045871555
2022-08-17,-0.11557788944723613
2022-08-17,-0.19266055045871555
2022-08-18,-0.1912442396313364
2022-08-18,-0.12030075187969924
2022-08-18,-0.1912442396313364
2022-08-18,-0.12030075187969924
2022-08-19,-0.1318407960199005
2022-08-19,-0.17882352941176471
2022-08-19,-0.1318407960199005
2022-08-19,-0.17882352941176471
2022-08-22,-0.1609756097560976
2022-08-22,-0.14214463840399005
2022-08-22,-0.1609756097560976
2022-08-22,-0.14214463840399005
2022-08-23,-0.13705583756345174
2022-08-23,-0.16870415647921755
2022-08-23,-0.13705583756345174
2022-08-23,-0.16870415647921755
2022-08-24,-0.14392059553349879
2022-08-24,-0.11989795918367352
2022-08-24,-0.14392059553349879
2022-08-24,-0.11989795918367352
2022-08-25,-0.13681592039800994
2022-08-25,-0.11928934010152281
2022-08-25,-0.13681592039800994
2022-08-25,-0.11928934010152281
2022-08-26,-0.1470588235294118
2022-08-26,-0.11675126903553301
2022-08-26,-0.1470588235294118
2022-08-26,-0.11675126903553301
2022-08-29,-0.1478696741854637
2022-08-29,-0.13265306122448983
2022-08-29,-0.1478696741854637
2022-08-29,-0.13265306122448983
2022-08-30,-0.1428571428571429
2022-08-30,-0.14720812182741116
2022-08-30,-0.1428571428571429
2022-08-30,-0.14720812182741116
2022-08-31,-0.14066496163682862
2022-08-31,-0.16625310173697272
2022-08-31,-0.14066496163682862
2022-08-31,-0.16625310173697272
2022-09-01,-0.1520618556701031
2022-09-02,-0.15012722646310428
2022-09-05,-0.1628498727735369
2022-09-06,-0.1564102564102564
2022-09-07,-0.1484375
2022-09-08,-0.1402597402597403
2022-09-13,-0.11749347258485643
2022-09-14,-0.11023622047244097
2022-09-15,-0.09308510638297873
2022-09-16,-0.07258064516129037
2022-09-19,-0.08244680851063835
2022-09-20,-0.08179419525065967
2022-09-21,-0.07387862796833777
2022-09-22,-0.053763440860215006
2022-09-23,-0.04347826086956519
2022-09-26,-0.07774798927613946
2022-09-27,-0.07199999999999995
2022-09-28,-0.07238605898123329
2022-09-29,-0.12271540469973885
2022-09-30,-0.09408602150537637
