,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
966,2020-12-09,250.97,254.24,250.78,253.99,8390644,43118206289,5319275909015,252.496,54.57624017718384,247.04468676375686,252.496,257.9473132362432,4.3179402733058465,0.6370312010385952
967,2020-12-10,253.98,254.43,251.89,253.83,13964053,59442872303,5315821495736,252.277,54.246920884223044,247.4447206206969,252.277,257.1092793793031,3.8309313804295186,0.6606902124338679
968,2020-12-11,254.2,260.51,254.1,260.51,13716488,54255922272,5455013672266,252.54899999999998,64.01087999042697,246.6285881900293,252.54899999999998,258.46941180997067,4.6885252445827845,1.1723349874575217
969,2020-12-14,260.71,260.71,255.62,256.04,9738149,43150432608,5361934101623,252.59249999999997,55.478910515971066,246.58357372323132,252.59249999999997,258.6014262767686,4.757802608366162,0.7868648940933562
970,2020-12-15,255.92,256.6,253.75,256.25,9076771,37068761498,5366081566095,252.57049999999998,55.77713195074761,246.618792765967,252.57049999999998,258.522207234033,4.712907670557722,0.8091129868552621
971,2020-12-16,256.19,258.1,255.81,256.18,7593810,27935385826,5364652123842,252.65299999999996,55.64333394390417,246.55108521858574,252.65299999999996,258.7549147814142,4.830272968390815,0.789007641563834
972,2020-12-17,256.29,256.37,253.53,255.27,17756176,48630962645,5345728124983,252.763,53.83537226555281,246.5565578630231,252.763,258.9694421369769,4.910878678427542,0.7019675640785995
973,2020-12-18,255.28,257.64,255.26,257.15,62426958,187268406044,5384907390641,252.863,56.94762149186114,246.44509348777632,252.863,259.2809065122237,5.076192651533582,0.8339874141073002
974,2020-12-21,256.1,258.16,254.92,257.83,39147667,136696424659,5398948894881,253.1605,58.049263199128255,246.40946607921086,253.1605,259.91153392078917,5.3334022651947315,0.845835916008413
975,2020-12-22,257.62,257.62,250.65,251.59,17340001,62935302987,5268919408939,253.06599999999997,46.33289487913541,246.28266630633246,253.06599999999997,259.84933369366746,5.360920624396403,0.3912039369832374
976,2020-12-23,251.52,252.12,248.4,250.06,9443859,29628977154,5237154398646,252.975,43.988519385821164,246.08251278567423,252.975,259.86748721432576,5.449144946596121,0.2885378739665068
977,2020-12-24,250.16,253.54,249.85,253.47,14699642,54533941061,5307903827745,253.21549999999996,50.054259823506776,246.6124568379688,253.21549999999996,259.8185431620311,5.215354638267528,0.5192714172658648
978,2020-12-28,253.6,254.83,250.82,251.21,10350235,42276191408,5260322442561,253.3725,46.4629544550458,247.12664097184,253.3725,259.61835902816,4.9301791063828935,0.3268853019056166
979,2020-12-29,250.95,253.16,249.57,253.04,6520564,41540687695,5296954349130,253.58649999999997,49.615323809243996,247.70477822830338,253.58649999999997,259.46822177169656,4.6388287796839265,0.4535425151670901
980,2020-12-30,253.25,254.76,252.35,254.64,7845403,31054442585,5330264570395,253.81550000000001,52.26199816326009,248.14808268700358,253.81550000000001,259.48291731299645,4.465777159390529,0.5727403643022053
981,2021-01-04,254.77,255.85,253.55,255.85,11839738,53456206577,5355578534552,254.09449999999998,54.22049641149778,248.60615061246511,254.09449999999998,259.58284938753485,4.319927733606881,0.6599296870555564
982,2021-01-05,255.85,256.0,252.65,255.99,8902629,41327903103,5358652263035,254.27200000000002,54.453328558801914,248.7795448113202,254.27200000000002,259.76445518867985,4.320141571765532,0.6563963601870487
983,2021-01-06,256.04,260.15,255.83,256.04,49417244,166909053981,5360642530956,254.50050000000002,54.54224999169388,249.1141154055194,254.50050000000002,259.88688459448065,4.232906885825856,0.6429066169520742
984,2021-01-07,256.07,260.0,256.07,258.89,36679918,164737308664,5420636316538,254.95699999999997,59.406999685282024,249.70927249186255,254.95699999999997,260.2047275081374,4.116558877094906,0.8747336341207951
